,,,,,بيانات على مستوى الحي من تعداد 2015 ,,,,,,,,,,,,,,,,,,,,
GOV_CODE,المحافظة,LUAA_CODE,اللواء,DISTRICT_CODE,القضاء,COLLECTION_CODE,التجمع السكاني,AREA_CODE,المنطقة,QUERTER_CODE,الحي,الفئات العمرية,ذكر _اردني,انثى _اردني,ذكر _سوري,انثى _سوري,ذكر _عراقي,انثى _عراقي,ذكر_فلسطيني,انثى_فلسطيني,ذكر _مصري,انثى _مصري,اخرى _ذكر ,اخرى _انثى,المجموع
11,العاصمة,1104,الجامعة,11041,الجامعة,11041015,شفا بدران,1104101519,شفا بدران,110410151903,المروج,15-19,366,358,70,43,2,0,0,7,14,9,182,21,"1,072"
11,العاصمة,1104,الجامعة,11041,الجامعة,11041015,شفا بدران,1104101519,شفا بدران,110410151903,المروج,20-24,380,345,48,56,0,0,28,21,51,0,101,50,"1,080"
11,العاصمة,1104,الجامعة,11041,الجامعة,11041015,شفا بدران,1104101519,شفا بدران,110410151903,المروج,25-29,285,334,34,47,0,2,0,0,44,0,31,77,854
11,العاصمة,1104,الجامعة,11041,الجامعة,11041015,شفا بدران,1104101519,شفا بدران,110410151903,المروج,30-34,276,290,35,31,2,0,14,7,43,9,15,25,747
11,العاصمة,1104,الجامعة,11041,الجامعة,11041015,شفا بدران,1104101519,شفا بدران,110410151903,المروج,35-39,228,216,32,37,3,6,7,0,8,0,8,13,558
11,العاصمة,1104,الجامعة,11041,الجامعة,11041015,شفا بدران,1104101519,شفا بدران,110410151903,المروج,40-44,172,196,15,21,0,0,7,7,18,8,15,0,459
11,العاصمة,1104,الجامعة,11041,الجامعة,11041015,شفا بدران,1104101519,شفا بدران,110410151903,المروج,45-49,186,196,26,22,3,3,7,0,16,0,2,0,461
11,العاصمة,1104,الجامعة,11041,الجامعة,11041015,شفا بدران,1104101519,شفا بدران,110410151903,المروج,50-54,163,181,18,16,0,0,0,0,8,9,9,8,412
11,العاصمة,1104,الجامعة,11041,الجامعة,11041015,شفا بدران,1104101519,شفا بدران,110410151903,المروج,55-59,130,94,8,7,2,0,0,0,9,0,4,3,257
11,العاصمة,1104,الجامعة,11041,الجامعة,11041015,شفا بدران,1104101519,شفا بدران,110410151903,المروج,5-9,450,403,80,105,2,6,7,21,0,0,161,32,"1,267"
