المحافظة,اللواء,القضاء,التجمع السكاني,المنطقة,الحي,الجنسية,الجنس,LESS THAN 15,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80 ABOVE
العاصمة,قصبة عمان,عمان,المدينه,المدينة,جبل الجوفة,غير أردني,ذكر,0,21,133,168,44,11,10,0,0,0,0,0,0,0,0
العاصمة,قصبة عمان,عمان,المدينه,المدينة,المدرج,أردني,أنثى,3,61,59,21,3,2,1,1,0,0,0,0,0,0,0
العاصمة,قصبة عمان,عمان,المدينه,المدينة,المدرج,أردني,ذكر,0,6,25,55,16,4,2,1,0,0,0,0,0,0,0
العاصمة,قصبة عمان,عمان,المدينه,المدينة,المدرج,غير أردني,أنثى,4,65,64,22,0,0,6,0,0,0,0,0,0,0,0
العاصمة,قصبة عمان,عمان,المدينه,المدينة,المدرج,غير أردني,ذكر,0,8,152,176,51,0,0,0,0,0,0,0,0,0,0
العاصمة,قصبة عمان,عمان,المدينه,المدينة,وادي السرور,أردني,أنثى,3,54,37,16,4,1,0,0,1,0,0,0,0,0,0
العاصمة,قصبة عمان,عمان,المدينه,المدينة,وادي السرور,أردني,ذكر,1,7,37,30,16,11,3,0,1,0,0,0,0,0,0
العاصمة,قصبة عمان,عمان,المدينه,المدينة,وادي السرور,غير أردني,أنثى,16,147,66,15,5,0,4,0,0,0,0,0,0,0,0
العاصمة,قصبة عمان,عمان,المدينه,المدينة,وادي السرور,غير أردني,ذكر,0,65,171,152,46,31,4,0,0,0,0,0,0,0,0
العاصمة,قصبة عمان,عمان,المدينه,المدينة,المهاجرين,أردني,أنثى,9,157,109,32,14,3,2,2,0,0,0,0,0,0,0
العاصمة,قصبة عمان,عمان,المدينه,المدينة,المهاجرين,أردني,ذكر,0,36,100,82,38,13,3,3,0,0,0,0,0,0,0
العاصمة,قصبة عمان,عمان,المدينه,المدينة,المهاجرين,غير أردني,أنثى,26,119,72,29,7,2,0,0,0,0,0,0,0,0,0
العاصمة,قصبة عمان,عمان,المدينه,المدينة,المهاجرين,غير أردني,ذكر,0,45,252,180,13,4,7,0,0,0,6,0,3,0,0
العاصمة,قصبة عمان,عمان,المدينه,المدينة,الرجوم,أردني,أنثى,8,66,48,16,12,1,3,2,0,0,0,0,0,0,0
العاصمة,قصبة عمان,عمان,المدينه,المدينة,الرجوم,أردني,ذكر,0,3,39,47,32,5,5,2,2,0,0,0,0,0,0
العاصمة,قصبة عمان,عمان,المدينه,المدينة,الرجوم,غير أردني,أنثى,17,143,96,22,26,4,0,0,0,0,0,0,0,0,0
العاصمة,قصبة عمان,عمان,المدينه,المدينة,الرجوم,غير أردني,ذكر,0,18,93,173,84,25,2,17,2,0,0,0,0,0,0
العاصمة,قصبة عمان,عمان,المدينه,المدينة,العدلية,أردني,أنثى,9,118,112,37,13,9,6,2,0,0,0,0,0,0,0
العاصمة,قصبة عمان,عمان,المدينه,المدينة,العدلية,أردني,ذكر,2,10,65,93,44,24,3,0,2,0,0,0,0,0,0
العاصمة,قصبة عمان,عمان,المدينه,المدينة,العدلية,غير أردني,أنثى,34,149,132,50,7,10,2,0,0,0,0,0,0,0,0
العاصمة,قصبة عمان,عمان,المدينه,المدينة,العدلية,غير أردني,ذكر,0,56,123,215,104,32,4,7,0,0,9,0,0,0,0
العاصمة,قصبة عمان,عمان,زهران,زهران,جبل عمان,أردني,أنثى,90,"1,070","1,234",561,159,52,21,10,2,0,0,0,0,0,0
العاصمة,قصبة عمان,عمان,زهران,زهران,جبل عمان,أردني,ذكر,16,81,702,"1,012",551,166,23,12,8,1,1,0,0,0,0
العاصمة,قصبة عمان,عمان,زهران,زهران,جبل عمان,غير أردني,أنثى,98,"1,089","1,267",703,214,60,19,0,0,0,0,0,0,0,0
العاصمة,قصبة عمان,عمان,زهران,زهران,جبل عمان,غير أردني,ذكر,11,126,"1,165","1,499",661,96,72,45,14,4,0,0,0,0,0
العاصمة,قصبة عمان,عمان,زهران,زهران,عبدون الشمالي,أردني,أنثى,63,944,"1,681",874,198,67,20,9,7,0,4,0,1,0,0
العاصمة,قصبة عمان,عمان,زهران,زهران,عبدون الشمالي,أردني,ذكر,12,92,682,"1,383",793,196,57,24,21,9,6,2,1,0,0
العاصمة,قصبة عمان,عمان,زهران,زهران,عبدون الشمالي,غير أردني,أنثى,119,924,"1,583",968,363,41,37,15,0,0,0,0,0,0,0
العاصمة,قصبة عمان,عمان,زهران,زهران,عبدون الشمالي,غير أردني,ذكر,16,209,"1,047","1,678",803,239,106,47,16,0,7,0,3,0,0
العاصمة,قصبة عمان,عمان,زهران,زهران,الرضوان,أردني,أنثى,18,429,962,608,179,53,11,5,7,0,0,0,0,0,0
العاصمة,قصبة عمان,عمان,زهران,زهران,الرضوان,أردني,ذكر,8,30,250,733,513,147,56,16,7,2,1,3,1,0,0
العاصمة,قصبة عمان,عمان,زهران,زهران,الرضوان,غير أردني,أنثى,74,486,900,450,152,59,18,9,0,0,0,0,0,0,0
العاصمة,قصبة عمان,عمان,زهران,زهران,الرضوان,غير أردني,ذكر,7,59,732,"1,090",533,136,43,5,20,0,5,0,0,0,0
العاصمة,قصبة عمان,عمان,زهران,زهران,ام اذينة الشرقي,أردني,أنثى,18,364,738,399,90,17,10,6,0,0,0,0,0,0,0
العاصمة,قصبة عمان,عمان,زهران,زهران,ام اذينة الشرقي,أردني,ذكر,4,39,308,600,314,94,31,8,2,1,0,0,0,0,0
العاصمة,قصبة عمان,عمان,زهران,زهران,ام اذينة الشرقي,غير أردني,أنثى,45,384,553,265,100,36,6,8,0,0,0,0,0,0,0
العاصمة,قصبة عمان,عمان,زهران,زهران,ام اذينة الشرقي,غير أردني,ذكر,8,56,469,598,316,80,40,8,0,0,0,0,0,0,0
العاصمة,قصبة عمان,عمان,زهران,زهران,عبدون الجنوبي,أردني,أنثى,20,310,577,353,78,22,13,0,0,1,0,0,0,0,0
العاصمة,قصبة عمان,عمان,زهران,زهران,عبدون الجنوبي,أردني,ذكر,7,37,236,529,306,73,15,8,11,0,0,0,0,0,0
العاصمة,قصبة عمان,عمان,زهران,زهران,عبدون الجنوبي,غير أردني,أنثى,33,505,961,410,108,32,20,2,0,0,0,0,0,0,0
العاصمة,قصبة عمان,عمان,زهران,زهران,عبدون الجنوبي,غير أردني,ذكر,19,125,974,"1,064",444,99,23,14,0,0,0,0,0,0,0
العاصمة,قصبة عمان,عمان,اليرموك,اليرموك,الاشرفية,أردني,أنثى,171,"2,559","2,736",879,239,114,32,17,8,3,2,0,0,0,0
العاصمة,قصبة عمان,عمان,اليرموك,اليرموك,الاشرفية,أردني,ذكر,20,280,"1,910","2,284",896,233,85,24,15,4,3,3,2,2,0
العاصمة,قصبة عمان,عمان,اليرموك,اليرموك,الاشرفية,غير أردني,أنثى,181,"1,633","1,619",635,109,56,8,0,6,0,0,0,0,0,0
العاصمة,قصبة عمان,عمان,اليرموك,اليرموك,الاشرفية,غير أردني,ذكر,28,364,"1,962","2,441",793,258,70,41,20,0,0,0,0,0,0
العاصمة,قصبة عمان,عمان,اليرموك,اليرموك,العودة,أردني,أنثى,217,"3,949","2,929",727,209,104,43,16,2,0,1,1,0,0,0
العاصمة,قصبة عمان,عمان,اليرموك,اليرموك,العودة,أردني,ذكر,42,639,"3,169","2,295",624,166,31,18,9,2,0,2,3,0,0
العاصمة,قصبة عمان,عمان,اليرموك,اليرموك,العودة,غير أردني,أنثى,181,"2,668","1,525",313,160,69,7,2,0,0,0,0,0,0,0
العاصمة,قصبة عمان,عمان,اليرموك,اليرموك,العودة,غير أردني,ذكر,21,"1,017","3,067","2,195",709,150,51,22,7,8,0,0,0,0,0
العاصمة,قصبة عمان,عمان,اليرموك,اليرموك,جبل التاج,أردني,أنثى,210,"3,419","3,687",972,244,115,31,13,3,6,0,1,0,0,1
العاصمة,قصبة عمان,عمان,اليرموك,اليرموك,جبل التاج,أردني,ذكر,44,335,"2,647","3,048","1,031",245,70,28,14,3,1,0,0,0,0
العاصمة,قصبة عمان,عمان,اليرموك,اليرموك,جبل التاج,غير أردني,أنثى,164,"1,747","1,117",352,86,35,26,0,3,0,0,0,0,0,0
