المحافظة,اللواء,القضاء,التجمع السكاني,المنطقة,الحي,الجنسية,الجنس,LESS THAN 15,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80 ABOVE
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الطيبة وخريبة السوق,غير أردني,ذكر,7,448,"2,361","2,848",811,143,39,21,0,8,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الايمان,أردني,أنثى,22,712,599,135,36,8,6,1,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الايمان,أردني,ذكر,1,97,633,501,105,22,2,4,0,1,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الايمان,غير أردني,أنثى,11,341,110,36,6,0,0,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الايمان,غير أردني,ذكر,0,63,410,288,69,0,7,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,غمدان,أردني,أنثى,23,424,463,113,13,5,4,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,غمدان,أردني,ذكر,1,42,350,431,94,19,3,1,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,غمدان,غير أردني,أنثى,2,67,78,18,0,0,10,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,غمدان,غير أردني,ذكر,0,6,185,113,35,7,0,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الابرار,أردني,أنثى,1,32,17,4,0,0,1,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الابرار,أردني,ذكر,0,6,27,20,6,0,0,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الابرار,غير أردني,أنثى,0,23,21,2,3,0,0,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الابرار,غير أردني,ذكر,0,15,30,37,49,0,0,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الفرقان,أردني,أنثى,4,131,222,85,16,3,1,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الفرقان,أردني,ذكر,0,10,119,219,68,9,0,1,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الفرقان,غير أردني,أنثى,0,19,42,10,0,0,0,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الفرقان,غير أردني,ذكر,0,0,27,28,7,3,0,0,0,0,7,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الاندلس,أردني,أنثى,63,"1,559","1,228",269,72,19,12,4,0,1,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الاندلس,أردني,ذكر,10,293,"1,258","1,069",278,39,15,9,3,2,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الاندلس,غير أردني,أنثى,30,222,258,11,0,0,0,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الاندلس,غير أردني,ذكر,0,68,286,252,112,16,0,0,0,0,0,7,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,التقوى,أردني,أنثى,13,294,90,23,10,1,0,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,التقوى,أردني,ذكر,0,71,201,72,21,4,3,0,2,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,التقوى,غير أردني,أنثى,4,100,70,7,0,0,0,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,التقوى,غير أردني,ذكر,0,104,163,145,52,0,0,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الاحسان,أردني,أنثى,5,256,221,40,10,3,1,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الاحسان,أردني,ذكر,3,29,285,137,26,1,1,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الاحسان,غير أردني,أنثى,3,154,52,10,0,0,0,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الاحسان,غير أردني,ذكر,0,28,139,101,7,11,8,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,جاوا الشمالي,أردني,أنثى,61,"1,140","1,078",272,59,17,10,6,2,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,جاوا الشمالي,أردني,ذكر,9,140,947,891,250,46,11,2,3,0,0,0,1,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,جاوا الشمالي,غير أردني,أنثى,51,504,286,94,15,16,0,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,جاوا الشمالي,غير أردني,ذكر,3,110,539,505,237,11,11,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,جاوا الجنوبي,أردني,أنثى,71,"1,201","1,204",389,50,22,18,9,3,1,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,جاوا الجنوبي,أردني,ذكر,2,158,967,"1,105",382,58,16,9,5,0,1,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,جاوا الجنوبي,غير أردني,أنثى,16,357,233,89,14,0,7,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,جاوا الجنوبي,غير أردني,ذكر,7,39,254,197,49,19,1,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الوفاء,أردني,أنثى,27,385,327,73,14,5,2,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الوفاء,أردني,ذكر,0,34,327,299,75,5,3,2,1,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الوفاء,غير أردني,أنثى,0,37,29,6,3,0,0,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الوفاء,غير أردني,ذكر,0,2,56,65,0,0,0,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,قباء,أردني,أنثى,36,493,486,158,28,19,4,3,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,قباء,أردني,ذكر,5,62,451,458,116,20,6,5,1,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,قباء,غير أردني,أنثى,0,118,141,19,11,0,7,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,قباء,غير أردني,ذكر,0,41,140,77,60,4,0,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الصفاء,أردني,أنثى,0,8,8,2,0,0,0,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الصفاء,أردني,ذكر,0,0,13,8,0,0,0,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الصفاء,غير أردني,أنثى,0,22,4,0,0,0,0,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الصفاء,غير أردني,ذكر,0,0,75,42,4,0,0,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,المجد,أردني,أنثى,0,8,6,6,0,0,1,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,المجد,أردني,ذكر,0,1,2,11,2,0,0,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,المجد,غير أردني,أنثى,0,8,0,0,7,0,0,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,المجد,غير أردني,ذكر,0,0,32,18,13,0,0,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الامل,أردني,أنثى,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الامل,أردني,ذكر,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الهداية,أردني,أنثى,0,4,10,8,1,3,0,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الهداية,أردني,ذكر,0,0,2,10,8,2,1,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الهداية,غير أردني,أنثى,0,24,8,4,0,0,0,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الهداية,غير أردني,ذكر,0,12,59,58,13,5,15,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الربيع,أردني,أنثى,0,2,4,4,0,0,0,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الربيع,أردني,ذكر,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الربيع,غير أردني,أنثى,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الربيع,غير أردني,ذكر,0,12,14,45,10,9,0,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,ام قصير والمقابلين,ام قصير والمقابلين والبنيات,ام قصير,أردني,أنثى,49,"1,034","1,340",329,61,16,7,1,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,ام قصير والمقابلين,ام قصير والمقابلين والبنيات,ام قصير,أردني,ذكر,26,118,"1,117","1,002",329,51,12,6,3,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,ام قصير والمقابلين,ام قصير والمقابلين والبنيات,ام قصير,غير أردني,أنثى,33,239,219,40,15,7,4,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,ام قصير والمقابلين,ام قصير والمقابلين والبنيات,ام قصير,غير أردني,ذكر,4,46,262,205,94,17,7,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,ام قصير والمقابلين,ام قصير والمقابلين والبنيات,المقابلين,أردني,أنثى,142,"2,993","3,076",741,153,61,30,6,0,2,0,0,0,0,0
العاصمة,القويسمة,القويسمة,ام قصير والمقابلين,ام قصير والمقابلين والبنيات,المقابلين,أردني,ذكر,12,344,"2,465","2,542",848,143,28,5,10,1,0,0,1,0,0
العاصمة,القويسمة,القويسمة,ام قصير والمقابلين,ام قصير والمقابلين والبنيات,المقابلين,غير أردني,أنثى,72,885,631,97,42,0,13,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,ام قصير والمقابلين,ام قصير والمقابلين والبنيات,المقابلين,غير أردني,ذكر,0,141,"1,034","1,077",310,69,4,14,9,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,ام قصير والمقابلين,ام قصير والمقابلين والبنيات,الحسنية,أردني,أنثى,48,736,990,297,61,30,14,5,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,ام قصير والمقابلين,ام قصير والمقابلين والبنيات,الحسنية,أردني,ذكر,8,63,616,845,286,80,21,2,6,1,2,0,0,0,0
العاصمة,القويسمة,القويسمة,ام قصير والمقابلين,ام قصير والمقابلين والبنيات,الحسنية,غير أردني,أنثى,16,226,269,64,4,14,0,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,ام قصير والمقابلين,ام قصير والمقابلين والبنيات,الحسنية,غير أردني,ذكر,0,62,349,428,192,31,7,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,ام قصير والمقابلين,ام قصير والمقابلين والبنيات,البنيات الجنوبي,أردني,أنثى,22,435,545,188,32,10,2,1,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,ام قصير والمقابلين,ام قصير والمقابلين والبنيات,البنيات الجنوبي,أردني,ذكر,1,55,357,476,153,38,10,1,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,ام قصير والمقابلين,ام قصير والمقابلين والبنيات,البنيات الجنوبي,غير أردني,أنثى,6,138,113,8,3,0,2,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,ام قصير والمقابلين,ام قصير والمقابلين والبنيات,البنيات الجنوبي,غير أردني,ذكر,0,65,190,87,17,0,0,0,2,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,ام قصير والمقابلين,ام قصير والمقابلين والبنيات,البنيات الشمالي,أردني,أنثى,21,371,632,196,38,7,2,0,0,1,1,0,0,0,0
العاصمة,القويسمة,القويسمة,ام قصير والمقابلين,ام قصير والمقابلين والبنيات,البنيات الشمالي,أردني,ذكر,0,28,387,571,143,25,2,1,0,0,1,0,0,0,0
العاصمة,القويسمة,القويسمة,ام قصير والمقابلين,ام قصير والمقابلين والبنيات,البنيات الشمالي,غير أردني,أنثى,0,46,70,14,2,0,0,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,ام قصير والمقابلين,ام قصير والمقابلين والبنيات,البنيات الشمالي,غير أردني,ذكر,0,24,27,57,24,6,0,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,ام قصير والمقابلين,ام قصير والمقابلين والبنيات,الصحابة,أردني,أنثى,12,213,401,171,34,8,0,0,1,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,ام قصير والمقابلين,ام قصير والمقابلين والبنيات,الصحابة,أردني,ذكر,0,21,166,369,159,33,7,1,3,0,1,0,0,0,0
العاصمة,القويسمة,القويسمة,ام قصير والمقابلين,ام قصير والمقابلين والبنيات,الصحابة,غير أردني,أنثى,6,75,117,20,0,0,0,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,ام قصير والمقابلين,ام قصير والمقابلين والبنيات,الصحابة,غير أردني,ذكر,0,8,71,121,17,9,3,0,0,2,0,0,0,0,0
العاصمة,القويسمة,القويسمة,ام قصير والمقابلين,ام قصير والمقابلين والبنيات,الكرامة,أردني,أنثى,1,39,41,13,2,0,2,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,ام قصير والمقابلين,ام قصير والمقابلين والبنيات,الكرامة,أردني,ذكر,0,1,27,39,13,3,0,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,ام قصير والمقابلين,ام قصير والمقابلين والبنيات,الكرامة,غير أردني,أنثى,0,17,14,12,8,0,0,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,ام قصير والمقابلين,ام قصير والمقابلين والبنيات,الكرامة,غير أردني,ذكر,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,ام قصير والمقابلين,ام قصير والمقابلين والبنيات,الحرية,أردني,أنثى,16,425,684,115,17,7,1,1,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,ام قصير والمقابلين,ام قصير والمقابلين والبنيات,الحرية,أردني,ذكر,2,39,594,389,144,34,6,1,1,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,ام قصير والمقابلين,ام قصير والمقابلين والبنيات,الحرية,غير أردني,أنثى,0,84,134,14,3,0,0,0,0,0,0,0,0,0,0
العاصمة,القويسمة,القويسمة,ام قصير والمقابلين,ام قصير والمقابلين والبنيات,الحرية,غير أردني,ذكر,0,22,159,73,42,19,16,0,0,0,0,0,0,0,0
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,الزيتونة,أردني,أنثى,16,375,726,361,52,19,11,2,0,0,0,0,0,0,0
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,الزيتونة,أردني,ذكر,7,26,262,632,406,74,19,5,1,0,0,0,0,0,0
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,الزيتونة,غير أردني,أنثى,7,202,128,83,11,7,0,0,5,0,0,0,0,0,0
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,الزيتونة,غير أردني,ذكر,8,57,182,293,80,23,2,0,0,0,0,0,0,0,0
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,ابن عوف,أردني,أنثى,12,211,465,214,39,6,3,1,0,0,0,0,0,0,0
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,ابن عوف,أردني,ذكر,1,8,170,388,194,40,8,3,0,1,0,1,0,0,0
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,ابن عوف,غير أردني,أنثى,0,134,132,72,23,2,0,0,0,0,0,0,0,0,0
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,ابن عوف,غير أردني,ذكر,4,49,257,217,59,14,4,3,4,0,0,0,0,0,0
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,البلدية,أردني,أنثى,37,472,903,412,79,32,7,0,1,0,0,0,0,0,0
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,البلدية,أردني,ذكر,0,39,304,723,378,98,29,5,3,2,0,2,0,0,0
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,البلدية,غير أردني,أنثى,116,868,"1,115",454,100,28,9,3,2,0,4,0,0,0,0
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,البلدية,غير أردني,ذكر,19,267,"1,256","1,455",478,202,37,4,3,0,3,0,0,0,0
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,قطنة,أردني,أنثى,62,"1,047","1,924",819,166,50,13,4,1,1,0,0,0,0,0
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,قطنة,أردني,ذكر,9,104,793,"1,464",822,192,50,9,9,3,1,1,0,0,0
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,قطنة,غير أردني,أنثى,52,534,624,332,79,36,0,0,0,0,0,0,0,0,0
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,قطنة,غير أردني,ذكر,7,110,796,995,437,149,38,4,0,0,0,0,0,0,0
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,الرشيد,أردني,أنثى,93,"1,442","2,590","1,204",282,93,29,15,1,1,0,0,0,0,0
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,الرشيد,أردني,ذكر,12,104,"1,000","2,138","1,074",260,95,17,8,10,2,3,2,0,0
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,الرشيد,غير أردني,أنثى,167,"1,503","1,656",769,186,52,6,9,0,0,4,0,7,0,0
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,الرشيد,غير أردني,ذكر,14,221,"1,411","1,878",894,198,81,11,0,4,0,0,0,0,0
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,الصديق,أردني,أنثى,57,841,"1,447",731,138,37,15,1,0,0,0,0,0,0,0
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,الصديق,أردني,ذكر,9,65,605,"1,297",628,135,34,18,3,1,3,0,0,0,0
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,الصديق,غير أردني,أنثى,64,628,607,229,34,16,9,0,0,0,0,0,0,0,0
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,الصديق,غير أردني,ذكر,10,125,493,545,271,68,8,9,0,0,0,0,0,0,0
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,الجامعة,أردني,أنثى,53,760,"1,560",889,151,50,15,7,1,4,0,0,0,0,0
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,الجامعة,أردني,ذكر,4,43,506,"1,442",799,198,59,18,5,1,1,0,3,1,0
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,الجامعة,غير أردني,أنثى,99,801,"1,086",352,70,16,6,6,0,0,0,0,0,0,0
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,الجامعة,غير أردني,ذكر,15,170,963,"1,070",534,118,45,20,4,0,0,0,0,0,0
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,الكلية الإسلامية,أردني,أنثى,13,382,873,426,61,15,1,5,0,0,0,0,0,0,0
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,الكلية الإسلامية,أردني,ذكر,0,26,287,733,385,72,13,3,2,0,0,0,0,0,0
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,الكلية الإسلامية,غير أردني,أنثى,8,142,166,101,12,0,0,0,0,0,0,0,0,0,0
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,الكلية الإسلامية,غير أردني,ذكر,4,80,331,329,152,16,0,6,0,0,0,0,0,0,0
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,المنصور,أردني,أنثى,6,182,287,136,16,10,5,0,0,0,0,0,0,0,0
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,المنصور,أردني,ذكر,0,9,113,284,139,19,8,5,0,0,2,0,0,0,0
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,المنصور,غير أردني,أنثى,21,46,80,17,0,6,0,0,0,0,0,0,0,0,0
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,المنصور,غير أردني,ذكر,6,32,107,133,25,3,2,0,0,0,0,0,0,0,0
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,الريان,أردني,أنثى,39,668,"1,281",683,109,41,15,11,5,0,0,0,0,0,0
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,الريان,أردني,ذكر,6,45,433,"1,099",617,153,36,20,5,0,4,1,1,0,0
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,الريان,غير أردني,أنثى,64,685,681,254,88,20,6,0,0,0,0,0,0,0,0
العاصمة,الجامعة,الجامعة,الجبيهة,الجبيهة,الريان,غير أردني,ذكر,4,153,851,894,333,133,51,15,9,0,0,0,0,0,0
العاصمة,الجامعة,الجامعة,صويلح,صويلح,ميسلون,أردني,أنثى,35,460,849,340,63,25,5,1,1,0,2,0,1,0,0
العاصمة,الجامعة,الجامعة,صويلح,صويلح,ميسلون,أردني,ذكر,3,44,398,715,318,81,14,5,0,1,1,0,0,0,0
العاصمة,الجامعة,الجامعة,صويلح,صويلح,ميسلون,غير أردني,أنثى,30,350,218,101,27,11,7,0,0,0,0,0,0,0,0
العاصمة,الجامعة,الجامعة,صويلح,صويلح,ميسلون,غير أردني,ذكر,23,69,303,241,83,46,6,11,0,0,0,0,0,0,0
العاصمة,الجامعة,الجامعة,صويلح,صويلح,الرحمانية,أردني,أنثى,28,614,927,524,70,21,10,0,0,0,0,0,0,0,0
العاصمة,الجامعة,الجامعة,صويلح,صويلح,الرحمانية,أردني,ذكر,7,62,409,904,438,105,22,5,0,1,0,0,0,0,0
العاصمة,الجامعة,الجامعة,صويلح,صويلح,الرحمانية,غير أردني,أنثى,16,233,273,88,43,0,0,0,0,0,0,0,0,0,0
العاصمة,الجامعة,الجامعة,صويلح,صويلح,الرحمانية,غير أردني,ذكر,0,51,223,339,140,27,5,5,0,0,0,0,0,0,0
العاصمة,الجامعة,الجامعة,صويلح,صويلح,الحي الشرقي,أردني,أنثى,76,"1,086","1,436",550,135,50,23,4,0,0,0,0,0,0,0
العاصمة,الجامعة,الجامعة,صويلح,صويلح,الحي الشرقي,أردني,ذكر,8,97,803,"1,299",512,130,24,5,4,4,0,1,1,0,0
العاصمة,الجامعة,الجامعة,صويلح,صويلح,الحي الشرقي,غير أردني,أنثى,141,"2,066","1,383",316,62,22,6,0,11,0,0,0,0,0,0
العاصمة,الجامعة,الجامعة,صويلح,صويلح,الحي الشرقي,غير أردني,ذكر,8,512,"2,612","2,050",563,165,14,4,11,7,0,0,0,0,0
العاصمة,الجامعة,الجامعة,صويلح,صويلح,البشائر,أردني,أنثى,19,544,974,538,93,25,7,5,0,0,0,0,0,0,0
العاصمة,الجامعة,الجامعة,صويلح,صويلح,البشائر,أردني,ذكر,4,44,370,840,473,128,28,4,1,2,2,0,0,0,0
العاصمة,الجامعة,الجامعة,صويلح,صويلح,البشائر,غير أردني,أنثى,75,482,648,251,34,8,2,0,0,0,0,0,0,0,0
العاصمة,الجامعة,الجامعة,صويلح,صويلح,البشائر,غير أردني,ذكر,0,108,708,843,290,21,5,10,4,0,0,0,0,0,0
العاصمة,الجامعة,الجامعة,صويلح,صويلح,الكمالية,أردني,أنثى,56,"1,194","1,703",703,148,40,21,7,5,1,1,0,0,0,0
العاصمة,الجامعة,الجامعة,صويلح,صويلح,الكمالية,أردني,ذكر,14,106,"1,049","1,514",539,120,44,12,3,4,1,1,0,0,0
العاصمة,الجامعة,الجامعة,صويلح,صويلح,الكمالية,غير أردني,أنثى,75,"1,261",799,243,64,7,0,4,0,0,0,0,0,0,0
العاصمة,الجامعة,الجامعة,صويلح,صويلح,الكمالية,غير أردني,ذكر,0,334,"1,580","1,546",368,74,21,0,0,0,0,0,0,0,0
العاصمة,الجامعة,الجامعة,صويلح,صويلح,الفضيلة,أردني,أنثى,54,966,"1,602",696,144,49,17,3,0,0,0,0,0,0,0
