"","GOV_CODE","GOV_NAME_AR","LUAA_CODE","LUAA_NAME_AR","DISTRICT_CODE","DISTRICT_NAME_AR","COLLECTION_CODE","COLLECTION_NAME_AR","AREA_CODE","AREA_NAME_AR","QUERTER_CODE","QUERTER_NAME_AR","MALE_JORD","FEMALE_JORD","PER_JORD","FAM_JORD","متوسط حجم الاسرة يحسب كما يلي","MALE_OTH","FEMALE_OTH","PER_OTH","FAM_OTH","MALE_SYR","FEMALE_SYR","PER_SYR","FAM_SYR","MALE_PLST","FEMALE_PLST","PER_PLST","FAM_PLST","MALE_EGPT","FEMALE_EGPT","PER_EGPT","FAM_EGPT","MALE_IRQ","FEMALE_IRQ","PER_IRQ","FAM_IRQ","MALE_EMN","FEMALE_EMN","PER_EMN","FAM_EMN","MALE_LYP","FEMALE_LYP","PER_LYP","FAM_LYP","TOT"
"71","11","العاصمة","1104","الجامعة","11041","الجامعة","11041012","صويلح","1104101216","صويلح","110410121603","الحي الشرقي",7654,7334,14988,3337,NA,346,467,813,202,7954,6998,14952,2980,938,665,1603,289,5533,464,5997,759,147,129,276,73,369,245,614,165,6,12,18,0,39261
"72","11","العاصمة","1106","سحاب","11061","سحاب","11061011","سحاب","1106101101","سحاب","110610110103","الثالث",15156,14018,29174,5917,NA,644,466,1110,225,7053,6533,13586,2726,2149,1589,3738,554,9738,2205,11943,1536,84,46,130,37,251,42,293,53,6,0,6,5,59980
"73","11","العاصمة","1103","القويسمة","11031","القويسمة","11031012","خريبة السوق وجاوا واليادودة","1103101212","خريبة السوق وجاوة","110310121205","الابرار",140,130,270,55,NA,14,2,16,6,39,23,62,16,0,14,14,3,151,0,151,36,30,33,63,17,0,0,0,0,0,0,0,0,576
"74","11","العاصمة","1104","الجامعة","11041","الجامعة","11041011","الجبيهة","1104101118","الجبيهة","110410111808","الكلية الإسلامية",3761,3926,7687,1771,NA,262,363,625,137,216,193,409,91,399,371,770,135,967,66,1033,210,115,103,218,59,6,9,15,6,12,12,24,5,10781
"75","11","العاصمة","1108","الموقر","11081","الموقر","11081016","المنشية","1108101601","المنشية","110810160101","المنشية",1438,1378,2816,543,NA,3,0,3,0,115,80,195,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3014
"76","11","العاصمة","1101","قصبة عمان","11011","عمان","11011113","المدينه","1101111301","المدينة","110111130106","المهاجرين",717,691,1408,331,NA,126,195,321,145,238,229,467,92,98,84,182,33,922,111,1033,236,9,10,19,6,0,0,0,0,0,0,0,0,3430
"77","11","العاصمة","1107","الجيزة","11072","ام الرصاص","11072018","الياهون","1107201801","الياهون","110720180101","الياهون",294,296,590,125,NA,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,597
"78","11","العاصمة","1104","الجامعة","11041","الجامعة","11041015","شفا بدران","1104101519","شفا بدران","110410151904","ياجوز",2170,2010,4180,903,NA,36,139,175,43,80,82,162,40,189,161,350,75,376,43,419,86,12,14,26,4,0,0,0,0,0,0,0,0,5312
"79","11","العاصمة","1109","ناعور","11091","ناعور","11091026","العويلية","1109102601","العويلية","110910260101","العويلية",285,246,531,109,NA,4,2,6,2,8,20,28,4,0,0,0,0,7,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,572
"80","11","العاصمة","1104","الجامعة","11041","الجامعة","11041015","شفا بدران","1104101519","شفا بدران","110410151906","ام بلانة",713,659,1372,270,NA,509,126,635,11,12,20,32,4,7,0,7,0,127,0,127,26,3,0,3,0,0,3,3,0,120,12,132,0,2311
"81","11","العاصمة","1104","الجامعة","11041","الجامعة","11041012","صويلح","1104101216","صويلح","110410121607","الحمر",91,92,183,52,NA,0,31,31,4,0,0,0,0,0,0,0,0,13,0,13,4,0,0,0,0,0,0,0,0,0,0,0,0,227
"82","11","العاصمة","1104","الجامعة","11041","الجامعة","11041015","شفا بدران","1104101519","شفا بدران","110410151914","الكوم الشرقي",115,112,227,38,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227
"83","11","العاصمة","1108","الموقر","11081","الموقر","11081024","المطبة (المصطبه)","1108102401","المطبة (المصطبه)","110810240101","المطبة (المصطبه)",81,67,148,27,NA,3,3,6,0,28,52,80,12,0,0,0,0,26,7,33,0,0,0,0,0,0,0,0,0,0,0,0,0,267
"84","11","العاصمة","1105","وادي السير","11051","وادي السير","11051020","الثغرة","1105102001","الثغرة","110510200101","الثغرة",50,39,89,14,NA,0,0,0,0,0,0,0,0,0,0,0,0,66,0,66,21,0,0,0,0,9,0,9,3,0,0,0,0,164
