المحافظة,اللواء,القضاء,التجمع السكاني,المنطقة,الحي,الرؤية,,السمع,,المشي,,التذكر أو التركيز,,العناية الشخصية,,التواصل,
,,,,,,صعوبة كبيرة,لايستطيع مطلقا,صعوبة كبيرة,لايستطيع مطلقا,صعوبة كبيرة,لايستطيع مطلقا,صعوبة كبيرة,لايستطيع مطلقا,صعوبة كبيرة,لايستطيع مطلقا,صعوبة كبيرة,لايستطيع مطلقا
,,,,,,SEEING_3,SEEING_4,HEARING_3,HEARING_4,WALKING_3,WALKING_4,CON_3,CON_4,CARE_3,CARE_4,COMM_3,COMM_4
العاصمة,سحاب,سحاب,سحاب,أحد,الخشافية الشمالية,47,8,35,6,70,15,31,13,41,13,32,16
العاصمة,سحاب,سحاب,سحاب,أحد,الخشافية الجنوبية,16,1,26,6,37,4,21,3,20,4,20,3
العاصمة,سحاب,سحاب,سحاب,أحد,المناخر,6,2,9,0,17,8,4,0,6,2,0,0
العاصمة,سحاب,سحاب,سحاب,أحد,قعفور,0,0,0,0,0,0,0,0,0,0,0,0
العاصمة,سحاب,سحاب,سحاب,أحد,البيضاء,34,3,24,5,66,11,22,4,18,8,15,7
العاصمة,سحاب,سحاب,سحاب,أحد,رميدان,0,0,0,0,0,0,0,0,0,0,0,0
العاصمة,سحاب,سحاب,سحاب,أحد,الماضونة,0,0,0,0,0,0,0,0,0,0,0,0
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,الجيزة,65,12,31,13,95,38,33,16,37,14,30,12
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,ام العمد,22,0,2,0,6,3,4,0,7,0,4,0
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,نتل,12,3,7,1,9,2,1,2,2,3,5,2
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,اللبن,74,3,32,8,77,22,33,12,28,18,20,15
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,القسطل,54,3,22,4,28,4,12,5,13,8,13,12
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,منجا,4,3,4,0,22,7,3,5,1,4,0,3
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,ام الوليد,9,0,20,2,18,8,17,3,14,9,13,11
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,حواره,2,1,0,1,9,4,1,1,4,5,2,3
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,الهرى,0,0,0,0,3,0,1,0,0,1,0,0
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,ارينبة الغربية,15,1,14,2,21,0,9,0,13,0,9,2
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,جلول,6,0,12,1,13,1,16,1,1,1,1,0
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,الطنيب,11,0,3,0,13,1,23,3,1,0,3,3
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,المنارة,5,0,3,1,14,0,2,0,0,0,0,1
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,الخضراء,0,2,2,0,7,2,3,0,1,0,0,0
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,الزيتونة,4,0,2,0,6,5,5,0,5,4,2,0
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,ارينبة الشرقية,3,0,3,0,6,0,5,0,3,0,5,0
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,الزعفران,4,0,5,0,7,6,4,2,5,3,2,3
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,صوفة,3,0,2,0,11,1,2,0,2,0,0,0
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,زويزيا,1,0,1,0,2,0,3,0,0,0,0,0
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,أم قصير,10,2,9,2,28,3,7,1,11,2,5,4
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,زينب,1,0,0,0,4,4,1,2,2,2,1,2
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,الدليله(دليلة المطيرات),7,0,2,6,11,1,3,1,2,2,1,3
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,ام رمانه,16,2,7,2,10,2,13,3,7,1,6,1
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,القنيطره,5,0,1,2,8,1,2,0,5,1,1,1
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,الناصرية,2,0,2,4,8,1,0,1,0,1,1,5
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,الشهباء(زباير الوتيري),0,0,2,0,0,0,0,0,0,0,0,0
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,المشتى,0,0,0,0,2,0,1,0,1,0,0,0
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,الغبية,7,0,3,0,15,1,2,0,1,1,1,0
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,السيفية(زباير كنيعان),0,0,0,0,4,0,0,0,0,0,0,0
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,الباسلية,2,0,1,0,3,1,1,1,2,1,0,1
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,الثمد,0,0,0,0,2,0,0,0,0,0,0,0
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,الصلاحيه(زباير الطوال),9,1,8,0,18,1,3,0,4,1,6,1
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,مخيم الطالبية,189,7,60,20,236,46,69,11,35,57,48,10
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,الخنان (الندوه),0,0,0,0,3,0,0,0,0,0,0,0
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,القناطر,11,0,4,1,9,4,3,6,3,4,5,1
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,الهريج,2,0,1,0,1,0,1,0,1,0,1,0
العاصمة,الجيزة,الجيزة,ضبعة,ضبعة,ضبعه,3,1,7,2,24,3,8,2,3,4,1,3
العاصمة,الجيزة,الجيزة,الزميلة,الزميلة,الزميله,19,1,10,5,25,2,15,1,13,2,11,6
العاصمة,الجيزة,الجيزة,الخالدية,الخالدية,الخالدية,2,6,5,3,11,3,8,6,4,6,2,6
العاصمة,الجيزة,الجيزة,الخريم,الخريم,الخريم,0,0,0,0,0,0,0,0,0,0,0,0
العاصمة,الجيزة,الجيزة,خان الزبيب,خان الزبيب,خان الزبيب,0,0,0,0,0,0,0,0,0,0,0,0
العاصمة,الجيزة,الجيزة,الذرة,الذرة,الذره,0,0,0,0,0,0,0,0,0,0,0,0
العاصمة,الجيزة,الجيزة,حمام الطلاق,حمام الطلاق,حمام الطلاق,14,0,10,0,28,0,10,0,7,0,1,0
العاصمة,الجيزة,الجيزة,حمام الشموط,حمام الشموط,حمام الشموط,10,0,10,3,40,3,11,0,6,1,7,2
العاصمة,الجيزة,ام الرصاص,ام الرصاص,ام الرصاص,ام الرصاص,5,0,1,0,10,1,0,0,0,1,0,0
العاصمة,الجيزة,ام الرصاص,الرامة,الرامة,الرامة,6,0,5,0,7,2,4,3,3,3,0,3
العاصمة,الجيزة,ام الرصاص,الرميل,الرميل,الرميل,1,2,2,2,10,4,0,4,2,4,4,2
العاصمة,الجيزة,ام الرصاص,طور الحشاش,طور الحشاش,طور الحشاش,10,0,5,3,13,0,4,0,4,0,3,0
العاصمة,الجيزة,ام الرصاص,سالية,سالية,سالية,1,1,6,2,3,0,0,4,2,0,3,2
العاصمة,الجيزة,ام الرصاص,الدامخي,الدامخي,الدامخي,2,2,2,3,8,0,2,0,0,1,0,4
العاصمة,الجيزة,ام الرصاص,الياهون,الياهون,الياهون,3,0,0,0,3,0,3,0,4,0,2,1
العاصمة,الجيزة,ام الرصاص,عليان,عليان,عليان,1,0,2,2,3,0,2,0,2,0,1,0
العاصمة,الجيزة,ام الرصاص,رجم عقاب,رجم عقاب,رجم عقاب,7,0,7,0,18,4,0,5,4,3,5,0
العاصمة,الجيزة,ام الرصاص,جميل,جميل,جميل,23,3,8,3,17,7,13,5,7,4,7,5
العاصمة,الجيزة,ام الرصاص,الثريا,الثريا,الثريا,0,0,0,0,0,0,0,0,0,0,0,0
العاصمة,الجيزة,ام الرصاص,المشيرفة,المشيرفة,المشيرفة,3,0,4,1,7,1,3,0,3,0,0,1
العاصمة,الجيزة,ام الرصاص,رجم فهيد,رجم فهيد,رجم فهيد,5,2,2,0,7,3,1,1,1,0,0,1
العاصمة,الجيزة,ام الرصاص,ابو حليليفة,ابو حليليفة,ابو حليليفة,3,1,2,0,19,1,3,0,2,2,6,1
العاصمة,الجيزة,ام الرصاص,المصيطبة,المصيطبة,المصيطبة,6,1,2,1,5,2,4,0,3,0,4,1
العاصمة,الجيزة,ام الرصاص,البحيرات(منشية السواريه),البحيرات(منشية السواريه),البحيرات(منشية السواريه),1,2,0,2,10,11,3,8,2,8,1,8
العاصمة,الموقر,الموقر,الموقر,الموقر,الموقر,52,1,27,5,67,10,34,8,27,13,24,9
العاصمة,الموقر,الموقر,النقيرة,النقيرة,النقيرة,13,4,10,0,21,6,11,4,7,9,12,4
العاصمة,الموقر,الموقر,الفيصلية,الفيصلية,الفيصلية,48,4,53,12,65,26,40,15,16,17,51,14
العاصمة,الموقر,الموقر,مغاير مهنا,مغاير مهنا,مغاير مهنا,17,6,6,6,29,4,10,4,6,6,5,6
العاصمة,الموقر,الموقر,الذهيبة الشرقية,الذهيبة الشرقية,الذهيبة الشرقية,22,2,8,2,23,4,10,4,8,2,7,6
العاصمة,الموقر,الموقر,المنشية,المنشية,المنشية,21,0,14,1,30,4,18,1,5,4,9,1
العاصمة,الموقر,الموقر,ام بطمة,ام بطمة,ام بطمة,57,2,41,1,55,9,29,7,28,16,18,14
العاصمة,الموقر,الموقر,الحاتمية,الحاتمية,الحاتمية,3,0,0,2,6,7,3,0,0,7,0,3
العاصمة,الموقر,الموقر,غزالة,غزالة,غزالة,2,0,0,0,2,1,1,0,1,0,0,1
العاصمة,الموقر,الموقر,روضة الحسين النموذجية,روضة الحسين النموذجية,روضة الحسين النموذجية,0,0,2,0,0,0,4,4,8,4,0,0
العاصمة,الموقر,الموقر,الحنيفية,الحنيفية,الحنيفية,0,0,0,0,0,0,0,0,0,0,0,0
العاصمة,الموقر,الموقر,الفالج(الرابية),الفالج(الرابية),الفالج(الرابية),0,0,0,0,0,0,1,0,2,0,3,0
العاصمة,الموقر,الموقر,الزميلات,الزميلات,الزميلات,18,2,9,4,33,8,15,0,3,7,5,64
العاصمة,الموقر,الموقر,المطبة (المصطبه),المطبة (المصطبه),المطبة (المصطبه),0,0,1,0,2,0,0,1,0,0,1,0
العاصمة,الموقر,الموقر,الجناب,الجناب,الجناب,0,0,0,2,2,5,3,6,4,5,8,5
العاصمة,الموقر,رجم الشامي,رجم الشامي الغربي,رجم الشامي الغربي,رجم الشامي الغربي,49,11,43,11,119,28,63,22,50,21,29,21
العاصمة,الموقر,رجم الشامي,سالم,سالم,سالم,93,7,35,3,128,10,30,2,30,6,8,4
العاصمة,الموقر,رجم الشامي,الهاشمية,الهاشمية,الهاشمية,0,0,0,0,0,0,0,0,0,0,0,0
العاصمة,الموقر,رجم الشامي,رجم الشامي الشرقي,رجم الشامي الشرقي,رجم الشامي الشرقي,18,9,9,4,13,14,11,1,4,9,9,2
العاصمة,الموقر,رجم الشامي,الذهيبة الغربية,الذهيبة الغربية,الذهيبة الغربية,22,4,14,0,30,13,23,4,21,14,13,8
العاصمة,الموقر,رجم الشامي,اللسين,اللسين,اللسين,1,0,6,0,9,0,2,2,2,0,2,0
العاصمة,الموقر,رجم الشامي,الماجدية (زباره),الماجدية (زباره),الماجدية (زباره),0,0,0,0,0,0,0,0,0,0,0,0
العاصمة,الموقر,رجم الشامي,الكتيفه,الكتيفه,الكتيفه,2,2,0,0,3,4,0,2,0,0,4,2
العاصمة,ناعور,ناعور,ناعور,ناعور,ناعور,186,23,134,16,284,92,140,45,119,72,98,52
العاصمة,ناعور,ناعور,العدسية,العدسية,العدسية,2,0,3,0,15,4,4,2,5,3,7,0
العاصمة,ناعور,ناعور,المنشية وام القطين,المنشية وام القطين,المنشية وام القطين,10,0,2,0,25,13,3,12,2,12,5,12
العاصمة,ناعور,ناعور,تركي,تركي,تركي,24,0,26,1,45,6,24,7,20,5,22,6
العاصمة,ناعور,ناعور,ادبيان,ادبيان,ادبيان,6,0,6,0,8,0,7,0,8,0,7,0
العاصمة,ناعور,ناعور,المنصورة,المنصورة,المنصورة,18,4,11,1,29,22,6,7,15,23,5,15
العاصمة,ناعور,ناعور,ام السماق,ام السماق,ام السماق,72,3,46,8,114,39,38,17,36,38,18,18
العاصمة,ناعور,ناعور,بصة ناعور,بصة ناعور,بصة ناعور,5,0,4,0,15,0,13,0,7,2,7,0
العاصمة,ناعور,ناعور,سيل حسبان,سيل حسبان,سيل حسبان,10,3,7,2,17,9,10,2,7,5,14,4
العاصمة,ناعور,ناعور,العامرية,العامرية,العامرية,5,0,1,0,6,0,6,0,6,0,5,0
العاصمة,ناعور,ناعور,بلعاس,بلعاس,بلعاس,11,3,10,1,12,3,9,2,6,1,8,2
العاصمة,ناعور,ناعور,زبود,زبود,زبود,7,2,7,4,17,0,0,3,16,2,0,1
العاصمة,ناعور,ناعور,ابو نقلة,ابو نقلة,ابو نقلة,2,2,3,1,17,2,3,2,2,3,2,3
العاصمة,ناعور,ناعور,العجاجرة,العجاجرة,العجاجرة,0,0,4,0,4,0,5,0,4,0,6,0
العاصمة,ناعور,ناعور,العويلية,العويلية,العويلية,2,0,1,0,1,0,2,0,1,0,3,0
العاصمة,ناعور,ام البساتين,ام البساتين,ام البساتين,ام البساتين,54,6,33,12,90,11,26,8,16,8,7,11
العاصمة,ناعور,ام البساتين,السامك,السامك,السامك,9,2,3,3,25,4,9,4,9,1,8,3
العاصمة,ناعور,ام البساتين,ام العساكر,ام العساكر,ام العساكر,4,0,1,0,6,0,2,2,3,1,3,1
العاصمة,ناعور,ام البساتين,ام الكندم,ام الكندم,ام الكندم,7,0,4,0,12,1,7,0,3,2,6,0
العاصمة,ناعور,ام البساتين,ام البرك,ام البرك,ام البرك,24,2,14,1,34,8,14,7,17,6,14,0
العاصمة,ناعور,ام البساتين,ماسوح,ماسوح,ماسوح,1,0,1,0,0,0,1,0,1,0,0,0
العاصمة,ناعور,حسبان,حسبان,حسبان,حسبان,13,4,20,3,29,9,16,4,11,7,5,9
العاصمة,ناعور,حسبان,الروضة,الروضة,الروضة,90,4,55,13,103,17,37,16,20,29,19,23
العاصمة,ناعور,حسبان,المشقر,المشقر,المشقر,15,3,4,3,37,11,24,1,12,13,26,5
العاصمة,ناعور,حسبان,العال,العال,العال,23,2,12,6,43,11,28,5,25,7,17,7
العاصمة,ناعور,حسبان,منشية حسبان,منشية حسبان,منشية حسبان,23,3,15,4,30,6,13,6,8,6,7,5
العاصمة,ناعور,حسبان,كرمة حسبان,كرمة حسبان,كرمة حسبان,1,0,3,0,9,1,4,0,3,0,3,0
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
