المحافظة,اللواء,القضاء,التجمع السكاني,المنطقة,الحي,أعزب أو عزباء,متزوج او متزوجة,مطلق أو مطلقة ,ارمل او ارملة,منفصل او منفصلة,,,,,,
العاصمة,ماركا,ماركا,بسمان,بسمان,الهاشمي الجنوبي,"3,470","4,627",132,374,19,,,,,,
العاصمة,القويسمة,القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,القويسمة,"7,839","11,027",244,526,38,,,,,,
العاصمة,القويسمة,القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,ابو علندا,"8,407","10,865",175,451,44,,,,,,
العاصمة,القويسمة,القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,النهارية,"14,664","21,432",355,"1,010",44,,,,,,
العاصمة,القويسمة,القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,المعادي,"6,288","10,798",186,517,15,,,,,,
العاصمة,القويسمة,القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,الجويدة,"4,605","6,087",137,257,9,,,,,,
العاصمة,القويسمة,القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,حطين,"3,557","4,906",108,270,7,,,,,,
العاصمة,القويسمة,القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,الرجيب,"3,084","4,602",92,116,7,,,,,,
العاصمة,القويسمة,القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,العروبة,"3,919","5,959",59,178,8,,,,,,
العاصمة,القويسمة,القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,ابو صوانة,"3,448","5,840",54,261,8,,,,,,
العاصمة,القويسمة,القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,المغبة الشرقي,880,"1,287",4,44,0,,,,,,
العاصمة,القويسمة,القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,ام نوارة,"10,835","17,244",342,684,44,,,,,,
العاصمة,القويسمة,القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,ام الحيران,"5,549","8,095",190,363,33,,,,,,
العاصمة,القويسمة,القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,المغبة الغربي,95,89,0,0,0,,,,,,
العاصمة,القويسمة,القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,حي جديد,"4,677","7,700",90,162,11,,,,,,
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,اليادودة,"5,326","7,401",105,423,8,,,,,,
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الطيبة وخريبة السوق,"19,163","27,652",435,"1,275",40,,,,,,
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الايمان,"2,899","4,065",56,98,7,,,,,,
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,غمدان,"1,441","2,366",29,111,1,,,,,,
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الابرار,123,287,7,0,0,,,,,,
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الفرقان,712,987,14,30,0,,,,,,
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الاندلس,"4,787","7,056",120,282,7,,,,,,
العاصمة,القويسمة,القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,التقوى,"1,035","1,386",17,45,2,,,,,,
