المحافظة,اللواء,القضاء,التجمع السكاني,المنطقة,الحي,أعزب أو عزباء,متزوج او متزوجة,مطلق أو مطلقة ,ارمل او ارملة,منفصل او منفصلة,,,,,,
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,الزيتونة,416,698,18,24,0,,,,,,
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,ارينبة الشرقية,468,679,11,30,0,,,,,,
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,الزعفران,508,688,13,23,0,,,,,,
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,صوفة,168,230,11,14,0,,,,,,
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,زويزيا,132,368,1,4,0,,,,,,
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,أم قصير,"1,189","1,438",11,39,0,,,,,,
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,زينب,145,178,2,11,0,,,,,,
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,الدليله(دليلة المطيرات),402,364,9,36,0,,,,,,
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,ام رمانه,607,813,14,30,0,,,,,,
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,القنيطره,505,362,4,20,1,,,,,,
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,الناصرية,235,275,2,16,2,,,,,,
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,الشهباء(زباير الوتيري),70,116,2,5,0,,,,,,
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,المشتى,245,84,0,0,0,,,,,,
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,الغبية,210,427,5,13,0,,,,,,
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,السيفية(زباير كنيعان),171,216,0,1,0,,,,,,
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,الباسلية,160,245,2,12,0,,,,,,
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,الثمد,59,81,0,0,0,,,,,,
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,الصلاحيه(زباير الطوال),493,522,2,24,0,,,,,,
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,مخيم الطالبية,"4,612","5,877",109,264,8,,,,,,
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,الخنان (الندوه),12,34,0,0,0,,,,,,
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,القناطر,138,95,1,13,0,,,,,,
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,الهريج,113,190,0,0,0,,,,,,
العاصمة,الجيزة,الجيزة,ضبعة,ضبعة,ضبعه,336,547,5,27,0,,,,,,
العاصمة,الجيزة,الجيزة,الزميلة,الزميلة,الزميله,888,"1,260",13,64,0,,,,,,
العاصمة,الجيزة,الجيزة,الخالدية,الخالدية,الخالدية,139,273,3,9,0,,,,,,
العاصمة,الجيزة,الجيزة,الخريم,الخريم,الخريم,1,0,0,0,0,,,,,,
العاصمة,الجيزة,الجيزة,خان الزبيب,خان الزبيب,خان الزبيب,0,8,0,0,0,,,,,,
العاصمة,الجيزة,الجيزة,الذرة,الذرة,الذره,22,18,0,2,0,,,,,,
العاصمة,الجيزة,الجيزة,حمام الطلاق,حمام الطلاق,حمام الطلاق,397,350,5,23,3,,,,,,
العاصمة,الجيزة,الجيزة,حمام الشموط,حمام الشموط,حمام الشموط,636,966,13,57,2,,,,,,
العاصمة,الجيزة,ام الرصاص,ام الرصاص,ام الرصاص,ام الرصاص,203,268,3,12,0,,,,,,
العاصمة,الجيزة,ام الرصاص,الرامة,الرامة,الرامة,715,788,11,48,4,,,,,,
العاصمة,الجيزة,ام الرصاص,الرميل,الرميل,الرميل,212,272,6,27,0,,,,,,
العاصمة,الجيزة,ام الرصاص,طور الحشاش,طور الحشاش,طور الحشاش,212,150,1,23,0,,,,,,
العاصمة,الجيزة,ام الرصاص,سالية,سالية,سالية,345,395,13,23,0,,,,,,
العاصمة,الجيزة,ام الرصاص,الدامخي,الدامخي,الدامخي,515,554,7,28,1,,,,,,
العاصمة,الجيزة,ام الرصاص,الياهون,الياهون,الياهون,127,222,1,16,0,,,,,,
العاصمة,الجيزة,ام الرصاص,عليان,عليان,عليان,119,125,3,14,0,,,,,,
العاصمة,الجيزة,ام الرصاص,رجم عقاب,رجم عقاب,رجم عقاب,212,230,1,10,0,,,,,,
العاصمة,الجيزة,ام الرصاص,جميل,جميل,جميل,353,472,2,15,0,,,,,,
العاصمة,الجيزة,ام الرصاص,الثريا,الثريا,الثريا,53,47,0,0,0,,,,,,
العاصمة,الجيزة,ام الرصاص,المشيرفة,المشيرفة,المشيرفة,323,376,1,29,0,,,,,,
العاصمة,الجيزة,ام الرصاص,رجم فهيد,رجم فهيد,رجم فهيد,130,141,1,10,0,,,,,,
العاصمة,الجيزة,ام الرصاص,ابو حليليفة,ابو حليليفة,ابو حليليفة,208,259,19,10,3,,,,,,
العاصمة,الجيزة,ام الرصاص,المصيطبة,المصيطبة,المصيطبة,282,347,2,17,0,,,,,,
العاصمة,الجيزة,ام الرصاص,البحيرات(منشية السواريه),البحيرات(منشية السواريه),البحيرات(منشية السواريه),173,179,0,4,0,,,,,,
العاصمة,الموقر,الموقر,الموقر,الموقر,الموقر,"1,796","2,487",49,148,0,,,,,,
العاصمة,الموقر,الموقر,النقيرة,النقيرة,النقيرة,"1,110","1,435",44,67,1,,,,,,
العاصمة,الموقر,الموقر,الفيصلية,الفيصلية,الفيصلية,"3,334","4,340",92,212,2,,,,,,
العاصمة,الموقر,الموقر,مغاير مهنا,مغاير مهنا,مغاير مهنا,846,"1,030",31,52,0,,,,,,
العاصمة,الموقر,الموقر,الذهيبة الشرقية,الذهيبة الشرقية,الذهيبة الشرقية,"1,530","2,093",23,98,5,,,,,,
العاصمة,الموقر,الموقر,المنشية,المنشية,المنشية,947,"1,070",15,56,0,,,,,,
العاصمة,الموقر,الموقر,ام بطمة,ام بطمة,ام بطمة,"1,088","1,835",19,96,0,,,,,,
العاصمة,الموقر,الموقر,الحاتمية,الحاتمية,الحاتمية,899,"1,161",8,23,0,,,,,,
العاصمة,الموقر,الموقر,غزالة,غزالة,غزالة,62,199,2,18,0,,,,,,
العاصمة,الموقر,الموقر,روضة الحسين النموذجية,روضة الحسين النموذجية,روضة الحسين النموذجية,53,102,1,0,0,,,,,,
العاصمة,الموقر,الموقر,الحنيفية,الحنيفية,الحنيفية,99,190,0,0,0,,,,,,
العاصمة,الموقر,الموقر,الفالج(الرابية),الفالج(الرابية),الفالج(الرابية),41,62,0,1,0,,,,,,
العاصمة,الموقر,الموقر,الزميلات,الزميلات,الزميلات,711,830,12,48,2,,,,,,
العاصمة,الموقر,الموقر,المطبة (المصطبه),المطبة (المصطبه),المطبة (المصطبه),48,110,1,2,0,,,,,,
العاصمة,الموقر,الموقر,الجناب,الجناب,الجناب,579,652,6,3,4,,,,,,
العاصمة,الموقر,رجم الشامي,رجم الشامي الغربي,رجم الشامي الغربي,رجم الشامي الغربي,"2,557","4,124",78,152,13,,,,,,
العاصمة,الموقر,رجم الشامي,سالم,سالم,سالم,"3,634","4,593",50,133,13,,,,,,
العاصمة,الموقر,رجم الشامي,الهاشمية,الهاشمية,الهاشمية,221,385,4,16,0,,,,,,
العاصمة,الموقر,رجم الشامي,رجم الشامي الشرقي,رجم الشامي الشرقي,رجم الشامي الشرقي,"1,167","1,468",33,44,0,,,,,,
العاصمة,الموقر,رجم الشامي,الذهيبة الغربية,الذهيبة الغربية,الذهيبة الغربية,"1,913","2,401",29,117,4,,,,,,
العاصمة,الموقر,رجم الشامي,اللسين,اللسين,اللسين,191,217,0,10,0,,,,,,
العاصمة,الموقر,رجم الشامي,الماجدية (زباره),الماجدية (زباره),الماجدية (زباره),102,141,0,3,0,,,,,,
العاصمة,الموقر,رجم الشامي,الكتيفه,الكتيفه,الكتيفه,126,279,3,5,0,,,,,,
العاصمة,ناعور,ناعور,ناعور,ناعور,ناعور,"8,962","12,516",341,683,26,,,,,,
العاصمة,ناعور,ناعور,العدسية,العدسية,العدسية,538,731,16,48,2,,,,,,
العاصمة,ناعور,ناعور,المنشية وام القطين,المنشية وام القطين,المنشية وام القطين,917,"1,266",36,48,2,,,,,,
العاصمة,ناعور,ناعور,تركي,تركي,تركي,966,"1,349",23,83,0,,,,,,
العاصمة,ناعور,ناعور,ادبيان,ادبيان,ادبيان,545,859,21,21,1,,,,,,
العاصمة,ناعور,ناعور,المنصورة,المنصورة,المنصورة,"1,076","1,485",22,57,0,,,,,,
العاصمة,ناعور,ناعور,ام السماق,ام السماق,ام السماق,"5,347","7,825",175,306,11,,,,,,
العاصمة,ناعور,ناعور,بصة ناعور,بصة ناعور,بصة ناعور,477,753,11,22,0,,,,,,
العاصمة,ناعور,ناعور,سيل حسبان,سيل حسبان,سيل حسبان,457,750,14,27,0,,,,,,
العاصمة,ناعور,ناعور,العامرية,العامرية,العامرية,371,513,11,20,0,,,,,,
العاصمة,ناعور,ناعور,بلعاس,بلعاس,بلعاس,676,967,19,46,2,,,,,,
العاصمة,ناعور,ناعور,زبود,زبود,زبود,748,951,7,28,2,,,,,,
العاصمة,ناعور,ناعور,ابو نقلة,ابو نقلة,ابو نقلة,615,773,22,32,1,,,,,,
العاصمة,ناعور,ناعور,العجاجرة,العجاجرة,العجاجرة,149,229,7,14,1,,,,,,
العاصمة,ناعور,ناعور,العويلية,العويلية,العويلية,207,213,5,11,0,,,,,,
العاصمة,ناعور,ام البساتين,ام البساتين,ام البساتين,ام البساتين,"2,652","3,146",54,185,3,,,,,,
العاصمة,ناعور,ام البساتين,السامك,السامك,السامك,"1,152","1,187",17,73,0,,,,,,
العاصمة,ناعور,ام البساتين,ام العساكر,ام العساكر,ام العساكر,481,576,18,24,3,,,,,,
العاصمة,ناعور,ام البساتين,ام الكندم,ام الكندم,ام الكندم,770,921,16,18,0,,,,,,
العاصمة,ناعور,ام البساتين,ام البرك,ام البرك,ام البرك,973,"1,152",42,58,4,,,,,,
العاصمة,ناعور,ام البساتين,ماسوح,ماسوح,ماسوح,189,234,6,18,0,,,,,,
العاصمة,ناعور,حسبان,حسبان,حسبان,حسبان,"1,390","1,800",32,94,0,,,,,,
العاصمة,ناعور,حسبان,الروضة,الروضة,الروضة,"3,018","3,745",68,181,1,,,,,,
العاصمة,ناعور,حسبان,المشقر,المشقر,المشقر,"1,537","1,972",23,99,3,,,,,,
العاصمة,ناعور,حسبان,العال,العال,العال,"1,751","2,354",28,77,3,,,,,,
العاصمة,ناعور,حسبان,منشية حسبان,منشية حسبان,منشية حسبان,584,824,24,36,2,,,,,,
العاصمة,ناعور,حسبان,كرمة حسبان,كرمة حسبان,كرمة حسبان,655,934,14,46,2,,,,,,
,,,,,sum,"1,167,817","1,569,947","34,995","82,610","4,126",,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
