المحافظة,اللواء,القضاء,التجمع السكاني,المنطقة,الحي,CASEWHENNAT_CODE=401THEN'أردني'ELSE'غيرأردني'END,CASEWHENQ88=1THEN'ذكر'ELSE'انثى'END,وزارة الصحة,الخدمات الطبية الملكية,المستشفيات الجامعية,وكالة الغوث,تأمين خاص,خدمة صحية مجانية,خارج الأردن,أخرى
العاصمة,قصبة عمان,عمان,المدينه,المدينة,المهاجرين,أردني,ذكر,249,57,3,1,47,50,0,2
العاصمة,قصبة عمان,عمان,المدينه,المدينة,المهاجرين,غير أردني,انثى,0,0,0,9,3,0,0,21
العاصمة,قصبة عمان,عمان,المدينه,المدينة,المهاجرين,غير أردني,ذكر,0,0,0,30,8,0,0,19
العاصمة,قصبة عمان,عمان,المدينه,المدينة,الرجوم,أردني,انثى,42,26,0,0,22,20,0,7
العاصمة,قصبة عمان,عمان,المدينه,المدينة,الرجوم,أردني,ذكر,41,20,0,4,38,26,0,8
العاصمة,قصبة عمان,عمان,المدينه,المدينة,الرجوم,غير أردني,انثى,0,0,0,14,58,0,0,80
العاصمة,قصبة عمان,عمان,المدينه,المدينة,الرجوم,غير أردني,ذكر,0,0,0,35,85,0,0,88
العاصمة,قصبة عمان,عمان,المدينه,المدينة,العدلية,أردني,انثى,142,37,0,7,49,44,0,8
العاصمة,قصبة عمان,عمان,المدينه,المدينة,العدلية,أردني,ذكر,111,34,4,5,60,40,0,3
العاصمة,قصبة عمان,عمان,المدينه,المدينة,العدلية,غير أردني,انثى,0,0,0,0,12,0,0,0
العاصمة,قصبة عمان,عمان,المدينه,المدينة,العدلية,غير أردني,ذكر,0,0,0,0,38,0,0,6
العاصمة,قصبة عمان,عمان,زهران,زهران,جبل عمان,أردني,انثى,"1,404",437,38,8,823,320,5,39
العاصمة,قصبة عمان,عمان,زهران,زهران,جبل عمان,أردني,ذكر,"1,230",359,41,6,844,343,32,52
العاصمة,قصبة عمان,عمان,زهران,زهران,جبل عمان,غير أردني,انثى,0,0,26,16,624,0,137,327
العاصمة,قصبة عمان,عمان,زهران,زهران,جبل عمان,غير أردني,ذكر,0,0,30,23,777,0,113,326
العاصمة,قصبة عمان,عمان,زهران,زهران,عبدون الشمالي,أردني,انثى,882,370,67,13,"2,529",198,78,33
العاصمة,قصبة عمان,عمان,زهران,زهران,عبدون الشمالي,أردني,ذكر,828,322,68,5,"2,379",268,68,45
العاصمة,قصبة عمان,عمان,زهران,زهران,عبدون الشمالي,غير أردني,انثى,0,0,30,32,"2,557",0,281,359
العاصمة,قصبة عمان,عمان,زهران,زهران,عبدون الشمالي,غير أردني,ذكر,0,0,30,4,"1,929",0,417,284
العاصمة,قصبة عمان,عمان,زهران,زهران,الرضوان,أردني,انثى,478,150,67,3,"1,613",68,53,34
العاصمة,قصبة عمان,عمان,زهران,زهران,الرضوان,أردني,ذكر,372,143,65,1,"1,485",82,65,42
العاصمة,قصبة عمان,عمان,زهران,زهران,الرضوان,غير أردني,انثى,0,0,45,11,"1,288",0,339,240
العاصمة,قصبة عمان,عمان,زهران,زهران,الرضوان,غير أردني,ذكر,0,0,36,3,"1,212",0,322,69
العاصمة,قصبة عمان,عمان,زهران,زهران,ام اذينة الشرقي,أردني,انثى,415,163,63,1,"1,004",90,33,46
العاصمة,قصبة عمان,عمان,زهران,زهران,ام اذينة الشرقي,أردني,ذكر,334,143,65,0,894,97,21,50
العاصمة,قصبة عمان,عمان,زهران,زهران,ام اذينة الشرقي,غير أردني,انثى,0,0,15,8,752,0,56,146
العاصمة,قصبة عمان,عمان,زهران,زهران,ام اذينة الشرقي,غير أردني,ذكر,0,0,19,23,484,0,57,103
العاصمة,قصبة عمان,عمان,زهران,زهران,عبدون الجنوبي,أردني,انثى,128,307,29,0,929,111,55,73
العاصمة,قصبة عمان,عمان,زهران,زهران,عبدون الجنوبي,أردني,ذكر,118,337,48,2,943,109,60,51
العاصمة,قصبة عمان,عمان,زهران,زهران,عبدون الجنوبي,غير أردني,انثى,0,0,17,0,"1,127",0,179,211
العاصمة,قصبة عمان,عمان,زهران,زهران,عبدون الجنوبي,غير أردني,ذكر,0,0,7,0,647,0,258,230
العاصمة,قصبة عمان,عمان,اليرموك,اليرموك,الاشرفية,أردني,انثى,"3,513","1,028",101,308,928,981,5,152
العاصمة,قصبة عمان,عمان,اليرموك,اليرموك,الاشرفية,أردني,ذكر,"3,055","1,032",84,325,"1,156","1,038",13,141
العاصمة,قصبة عمان,عمان,اليرموك,اليرموك,الاشرفية,غير أردني,انثى,0,0,24,296,246,0,116,364
العاصمة,قصبة عمان,عمان,اليرموك,اليرموك,الاشرفية,غير أردني,ذكر,0,0,17,380,394,0,99,309
العاصمة,قصبة عمان,عمان,اليرموك,اليرموك,العودة,أردني,انثى,"3,329",416,90,"1,996",704,"1,415",8,102
العاصمة,قصبة عمان,عمان,اليرموك,اليرموك,العودة,أردني,ذكر,"3,189",388,94,"2,079",900,"1,450",24,95
العاصمة,قصبة عمان,عمان,اليرموك,اليرموك,العودة,غير أردني,انثى,0,0,51,"1,339",211,0,0,248
العاصمة,قصبة عمان,عمان,اليرموك,اليرموك,العودة,غير أردني,ذكر,0,0,42,"1,700",432,0,2,279
العاصمة,قصبة عمان,عمان,اليرموك,اليرموك,جبل التاج,أردني,انثى,"5,715","2,066",202,104,"1,389","1,212",5,152
العاصمة,قصبة عمان,عمان,اليرموك,اليرموك,جبل التاج,أردني,ذكر,"5,428","1,994",186,67,"1,672","1,302",27,146
العاصمة,قصبة عمان,عمان,اليرموك,اليرموك,جبل التاج,غير أردني,انثى,0,0,7,127,209,0,35,253
العاصمة,قصبة عمان,عمان,اليرموك,اليرموك,جبل التاج,غير أردني,ذكر,0,0,14,73,317,0,19,186
العاصمة,قصبة عمان,عمان,بدر,بدر,الذراع,أردني,انثى,"4,373",869,153,189,"1,336","1,639",3,127
العاصمة,قصبة عمان,عمان,بدر,بدر,الذراع,أردني,ذكر,"4,241",783,122,198,"1,689","1,628",19,106
العاصمة,قصبة عمان,عمان,بدر,بدر,الذراع,غير أردني,انثى,0,0,29,112,132,0,0,201
العاصمة,قصبة عمان,عمان,بدر,بدر,الذراع,غير أردني,ذكر,0,0,4,126,149,0,0,257
العاصمة,قصبة عمان,عمان,بدر,بدر,الاخضر,أردني,انثى,"5,437","1,419",269,161,"2,061","2,405",2,305
العاصمة,قصبة عمان,عمان,بدر,بدر,الاخضر,أردني,ذكر,"5,218","1,432",249,154,"2,388","2,493",24,243
العاصمة,قصبة عمان,عمان,بدر,بدر,الاخضر,غير أردني,انثى,0,0,23,143,169,0,15,257
العاصمة,قصبة عمان,عمان,بدر,بدر,الاخضر,غير أردني,ذكر,0,0,16,106,197,0,25,203
العاصمة,قصبة عمان,عمان,بدر,بدر,الحمرانية,أردني,انثى,564,135,41,15,579,258,16,20
العاصمة,قصبة عمان,عمان,بدر,بدر,الحمرانية,أردني,ذكر,512,141,31,22,570,282,23,21
العاصمة,قصبة عمان,عمان,بدر,بدر,الحمرانية,غير أردني,انثى,0,0,7,3,49,0,21,63
العاصمة,قصبة عمان,عمان,بدر,بدر,الحمرانية,غير أردني,ذكر,0,0,7,0,362,0,7,84
العاصمة,قصبة عمان,عمان,بدر,بدر,الهلال,أردني,انثى,"2,924",663,223,89,"1,983","1,415",39,141
العاصمة,قصبة عمان,عمان,بدر,بدر,الهلال,أردني,ذكر,"2,752",579,202,95,"2,230","1,419",61,161
العاصمة,قصبة عمان,عمان,بدر,بدر,الهلال,غير أردني,انثى,0,0,0,14,161,0,26,158
العاصمة,قصبة عمان,عمان,بدر,بدر,الهلال,غير أردني,ذكر,0,0,24,7,243,0,19,173
العاصمة,قصبة عمان,عمان,بدر,بدر,الياسمين,أردني,انثى,"2,004",488,158,51,"2,061","1,129",37,116
العاصمة,قصبة عمان,عمان,بدر,بدر,الياسمين,أردني,ذكر,"1,919",465,160,44,"2,246","1,194",45,103
العاصمة,قصبة عمان,عمان,بدر,بدر,الياسمين,غير أردني,انثى,0,0,18,11,248,0,55,128
العاصمة,قصبة عمان,عمان,بدر,بدر,الياسمين,غير أردني,ذكر,0,0,14,37,141,0,78,213
العاصمة,ماركا,ماركا,طارق,طارق,طبربور,أردني,انثى,"4,180","2,243",480,70,"3,109","1,143",125,161
العاصمة,ماركا,ماركا,طارق,طارق,طبربور,أردني,ذكر,"3,822","2,184",488,63,"3,444","1,126",218,141
العاصمة,ماركا,ماركا,طارق,طارق,طبربور,غير أردني,انثى,0,0,82,96,568,0,147,258
العاصمة,ماركا,ماركا,طارق,طارق,طبربور,غير أردني,ذكر,0,0,118,163,519,0,153,370
العاصمة,ماركا,ماركا,طارق,طارق,الخزنة,أردني,انثى,"1,399","1,320",238,28,"1,573",417,28,64
العاصمة,ماركا,ماركا,طارق,طارق,الخزنة,أردني,ذكر,"1,304","1,371",191,23,"1,694",459,85,50
العاصمة,ماركا,ماركا,طارق,طارق,الخزنة,غير أردني,انثى,0,0,22,50,228,0,14,167
العاصمة,ماركا,ماركا,طارق,طارق,الخزنة,غير أردني,ذكر,0,0,57,21,324,0,21,150
العاصمة,ماركا,ماركا,طارق,طارق,الشهيد الشمالي,أردني,انثى,"3,371","2,207",337,85,"2,216",902,64,184
العاصمة,ماركا,ماركا,طارق,طارق,الشهيد الشمالي,أردني,ذكر,"3,025","2,166",327,71,"2,407","1,089",151,161
العاصمة,ماركا,ماركا,طارق,طارق,الشهيد الشمالي,غير أردني,انثى,0,0,38,74,303,0,70,162
العاصمة,ماركا,ماركا,طارق,طارق,الشهيد الشمالي,غير أردني,ذكر,0,0,165,53,428,0,84,229
العاصمة,ماركا,ماركا,طارق,طارق,ابو عليا,أردني,انثى,"1,279","1,142",117,36,"1,083",408,14,95
العاصمة,ماركا,ماركا,طارق,طارق,ابو عليا,أردني,ذكر,"1,103","1,135",100,26,"1,142",429,50,103
العاصمة,ماركا,ماركا,طارق,طارق,ابو عليا,غير أردني,انثى,0,0,17,70,175,0,18,101
العاصمة,ماركا,ماركا,طارق,طارق,ابو عليا,غير أردني,ذكر,0,0,17,119,157,0,68,77
العاصمة,ماركا,ماركا,طارق,طارق,الفيصل,أردني,انثى,359,390,28,4,233,129,15,44
العاصمة,ماركا,ماركا,طارق,طارق,الفيصل,أردني,ذكر,384,426,33,1,296,135,29,30
العاصمة,ماركا,ماركا,طارق,طارق,الفيصل,غير أردني,انثى,0,0,7,0,18,0,0,7
العاصمة,ماركا,ماركا,طارق,طارق,الفيصل,غير أردني,ذكر,0,0,7,0,0,0,7,7
العاصمة,ماركا,ماركا,طارق,طارق,عين رباط,أردني,انثى,117,117,1,0,83,28,0,13
العاصمة,ماركا,ماركا,طارق,طارق,عين رباط,أردني,ذكر,100,123,10,0,95,31,15,16
العاصمة,ماركا,ماركا,طارق,طارق,عين رباط,غير أردني,انثى,0,0,0,0,4,0,0,14
العاصمة,ماركا,ماركا,طارق,طارق,عين رباط,غير أردني,ذكر,0,0,0,0,0,0,0,42
العاصمة,ماركا,ماركا,طارق,طارق,عين غزال,أردني,انثى,463,200,15,38,187,215,4,25
العاصمة,ماركا,ماركا,طارق,طارق,عين غزال,أردني,ذكر,463,239,23,57,190,187,1,31
العاصمة,ماركا,ماركا,طارق,طارق,عين غزال,غير أردني,انثى,0,0,0,7,16,0,0,15
العاصمة,ماركا,ماركا,طارق,طارق,عين غزال,غير أردني,ذكر,0,0,0,0,0,0,0,22
العاصمة,ماركا,ماركا,طارق,طارق,الشهيد الجنوبي,أردني,انثى,565,310,62,11,431,192,27,27
العاصمة,ماركا,ماركا,طارق,طارق,الشهيد الجنوبي,أردني,ذكر,543,313,71,11,443,214,28,23
العاصمة,ماركا,ماركا,طارق,طارق,الشهيد الجنوبي,غير أردني,انثى,0,0,0,41,108,0,0,60
العاصمة,ماركا,ماركا,طارق,طارق,الشهيد الجنوبي,غير أردني,ذكر,0,0,0,40,77,0,4,21
العاصمة,ماركا,ماركا,طارق,طارق,الغابة,أردني,انثى,730,774,100,20,576,239,2,37
العاصمة,ماركا,ماركا,طارق,طارق,الغابة,أردني,ذكر,711,823,79,10,633,271,15,38
العاصمة,ماركا,ماركا,طارق,طارق,الغابة,غير أردني,انثى,0,0,12,0,54,0,4,28
العاصمة,ماركا,ماركا,طارق,طارق,الغابة,غير أردني,ذكر,0,0,88,0,50,0,0,69
العاصمة,ماركا,ماركا,طارق,طارق,الامير الحسين بن عبدالله,أردني,انثى,81,22,10,2,99,24,1,22
العاصمة,ماركا,ماركا,طارق,طارق,الامير الحسين بن عبدالله,أردني,ذكر,73,14,6,3,76,26,1,13
العاصمة,ماركا,ماركا,طارق,طارق,الامير الحسين بن عبدالله,غير أردني,انثى,0,0,12,0,4,0,0,0
العاصمة,ماركا,ماركا,طارق,طارق,الامير الحسين بن عبدالله,غير أردني,ذكر,0,0,7,0,6,0,0,0
العاصمة,ماركا,ماركا,ماركا,ماركا,المطار,أردني,انثى,"1,113",740,59,23,542,384,10,37
العاصمة,ماركا,ماركا,ماركا,ماركا,المطار,أردني,ذكر,982,702,43,18,658,439,20,48
العاصمة,ماركا,ماركا,ماركا,ماركا,المطار,غير أردني,انثى,0,0,0,73,132,0,0,32
