محافظه,لواء,قضاء,التجمع السكاني,المنطقة,الحي, الاعاقة السمعيه و/او النطقيه , الاعاقه الجسديه و /او الحركيه,الاعاقه شلل دماغي,الاعاقه العقليه,الاعاقه البصريه, الاعاقات  المتعدده, الاعاقات  الاخرى, الاعاقات  الغير مبينه
العاصمة,لواء القويسمة,قضاء القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,ابو صوانة,4,9,5,2,1,10,3,0
العاصمة,لواء القويسمة,قضاء القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,ابو علندا,20,41,18,15,8,15,8,3
العاصمة,لواء القويسمة,قضاء القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,الجويدة,14,26,3,10,8,6,8,1
العاصمة,لواء القويسمة,قضاء القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,الرجيب,9,19,1,4,4,4,0,0
العاصمة,لواء القويسمة,قضاء القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,العروبة,11,6,15,7,6,9,6,0
العاصمة,لواء القويسمة,قضاء القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,القويسمة,25,43,22,20,12,15,14,0
العاصمة,لواء القويسمة,قضاء القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,المعادي,17,27,12,19,9,16,4,0
العاصمة,لواء القويسمة,قضاء القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,المغبة الشرقي,5,9,5,8,2,7,0,0
العاصمة,لواء القويسمة,قضاء القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,المغبة الغربي,0,1,0,0,0,0,0,0
العاصمة,لواء القويسمة,قضاء القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,النهارية,60,97,35,64,19,27,28,2
العاصمة,لواء القويسمة,قضاء القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,ام الحيران,21,38,10,18,5,20,5,0
العاصمة,لواء القويسمة,قضاء القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,ام نوارة,55,36,24,36,22,22,10,0
العاصمة,لواء القويسمة,قضاء القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,حطين,10,32,6,4,12,9,5,0
العاصمة,لواء القويسمة,قضاء القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,حي جديد,15,15,0,3,10,8,10,0
العاصمة,لواء القويسمة,قضاء القويسمة,ام قصير والمقابلين,ام قصير والمقابلين,الحرية,5,12,0,4,1,6,2,0
العاصمة,لواء القويسمة,قضاء القويسمة,ام قصير والمقابلين,ام قصير والمقابلين,الحسنية,10,13,2,156,7,7,3,0
العاصمة,لواء القويسمة,قضاء القويسمة,ام قصير والمقابلين,ام قصير والمقابلين,الصحابة,2,0,2,1,0,0,0,0
العاصمة,لواء القويسمة,قضاء القويسمة,ام قصير والمقابلين,ام قصير والمقابلين,الكرامة,0,1,0,2,0,1,0,0
العاصمة,لواء القويسمة,قضاء القويسمة,ام قصير والمقابلين,ام قصير والمقابلين,المقابلين,44,69,26,28,16,18,22,5
العاصمة,لواء القويسمة,قضاء القويسمة,ام قصير والمقابلين,ام قصير والمقابلين,ام قصير,15,19,5,12,6,8,3,1
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,الطيبة وخريبة السوق,83,141,43,69,34,64,38,2
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,اليادودة,17,40,8,13,13,13,5,0
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حى الوفاء,1,2,1,2,1,0,1,0
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي الابرار,0,0,1,0,1,0,0,0
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي الاحسان,4,1,0,0,0,0,0,0
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي الاندلس,17,36,6,10,4,6,8,0
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي الايمان,9,9,4,14,8,10,2,0
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي التقوى,2,1,2,2,0,2,0,0
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي الصفاء,1,2,0,0,0,0,0,0
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي الفرقان,0,1,0,0,0,0,1,0
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي الهداية,0,1,0,0,0,0,0,0
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي جاوا الجنوبي,10,16,4,11,8,10,2,0
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي جاوا الشمالي,10,24,8,19,9,21,3,0
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي غمدان,9,7,3,3,7,6,0,0
