محافظه,لواء,قضاء,التجمع السكاني,المنطقة,الحي, الاعاقة السمعيه و/او النطقيه , الاعاقه الجسديه و /او الحركيه,الاعاقه شلل دماغي,الاعاقه العقليه,الاعاقه البصريه, الاعاقات  المتعدده, الاعاقات  الاخرى, الاعاقات  الغير مبينه
العاصمة,لواء الجيزة,قضاء الجيزة,القسطل,القسطل,القسطل,3,11,6,5,8,8,3,0
العاصمة,لواء الجيزة,قضاء الجيزة,القناطر,القناطر,القناطر,0,0,0,1,1,1,0,0
العاصمة,لواء الجيزة,قضاء الجيزة,القنيطره,القنيطره,القنيطره,1,2,0,0,0,0,0,0
العاصمة,لواء الجيزة,قضاء الجيزة,اللبن,اللبن,اللبن,2,10,1,3,2,4,0,0
العاصمة,لواء الجيزة,قضاء الجيزة,المشتى,المشتى,المشتى,0,1,0,0,0,1,0,0
العاصمة,لواء الجيزة,قضاء الجيزة,الناصرية,الناصرية,الناصرية,5,1,0,2,0,0,0,0
العاصمة,لواء الجيزة,قضاء الجيزة,ام العمد,ام العمد,ام العمد,1,2,1,0,0,1,0,0
العاصمة,لواء الجيزة,قضاء الجيزة,ام الوليد,ام الوليد,ام الوليد,6,13,1,3,2,4,2,0
العاصمة,لواء الجيزة,قضاء الجيزة,ام رمانه,ام رمانه,ام رمانه,2,4,0,2,0,0,2,0
العاصمة,لواء الجيزة,قضاء الجيزة,ام قصير ,ام قصير ,ام قصير ,7,6,1,2,1,2,0,0
العاصمة,لواء الجيزة,قضاء الجيزة,جلول,جلول,جلول,2,0,1,1,2,0,0,0
العاصمة,لواء الجيزة,قضاء الجيزة,حمام الشموط,حمام الشموط,حمام الشموط,2,9,0,2,1,2,0,0
العاصمة,لواء الجيزة,قضاء الجيزة,حمام الطلاق,حمام الطلاق,حمام الطلاق,0,1,0,1,0,1,0,0
العاصمة,لواء الجيزة,قضاء الجيزة,حواره,حواره,حواره,0,0,0,0,0,1,0,0
العاصمة,لواء الجيزة,قضاء الجيزة,خان الزبيب,خان الزبيب,خان الزبيب,0,1,0,0,0,0,0,0
العاصمة,لواء الجيزة,قضاء الجيزة,زويزيا,زويزيا,زويزيا,0,0,0,0,0,1,0,0
العاصمة,لواء الجيزة,قضاء الجيزة,زينب,زينب,زينب,0,0,0,0,0,1,0,0
العاصمة,لواء الجيزة,قضاء الجيزة,ضبعه,ضبعه,ضبعه,0,1,0,2,0,0,0,0
العاصمة,لواء الجيزة,قضاء الجيزة,مخيم الطالبية,مخيم الطالبية,مخيم الطالبية,13,28,3,14,17,12,8,0
العاصمة,لواء الجيزة,قضاء الجيزة,مشيرفة الجيزه,مشيرفة الجيزه,مشيرفة الجيزه,0,4,0,2,0,1,0,1
العاصمة,لواء الجيزة,قضاء الجيزة,منجا,منجا,منجا,0,5,1,0,0,0,0,0
العاصمة,لواء الجيزة,قضاء الجيزة,نتل,نتل,نتل,2,6,0,2,3,0,4,0
العاصمة,لواء الجيزة,قضاء ام الرصاص,ابو حليليفة,ابو حليليفة,ابو حليليفة,0,0,0,0,1,2,0,0
العاصمة,لواء الجيزة,قضاء ام الرصاص,البحيرات(منشية السواريه),البحيرات(منشية السواريه),البحيرات(منشية السواريه),1,0,0,0,0,0,0,0
العاصمة,لواء الجيزة,قضاء ام الرصاص,الدامخي,الدامخي,الدامخي,2,6,1,3,6,5,4,0
العاصمة,لواء الجيزة,قضاء ام الرصاص,الرامة,الرامة,الرامة,6,2,0,1,3,2,2,0
العاصمة,لواء الجيزة,قضاء ام الرصاص,الرميل,الرميل,الرميل,1,1,0,1,0,0,1,0
العاصمة,لواء الجيزة,قضاء ام الرصاص,المشيرفة,المشيرفة,المشيرفة,2,4,0,1,0,0,0,0
العاصمة,لواء الجيزة,قضاء ام الرصاص,المصيطبة,المصيطبة,المصيطبة,2,0,0,1,0,0,0,0
العاصمة,لواء الجيزة,قضاء ام الرصاص,الياهون,الياهون,الياهون,1,0,0,0,0,0,0,0
العاصمة,لواء الجيزة,قضاء ام الرصاص,ام الرصاص,ام الرصاص,ام الرصاص,1,3,0,0,2,1,0,0
العاصمة,لواء الجيزة,قضاء ام الرصاص,جميل,جميل,جميل,1,3,0,0,1,0,1,0
العاصمة,لواء الجيزة,قضاء ام الرصاص,رجم عقاب,رجم عقاب,رجم عقاب,1,0,0,1,1,0,0,0
العاصمة,لواء الجيزة,قضاء ام الرصاص,رجم فهيد,رجم فهيد,رجم فهيد,0,1,0,0,2,0,0,0
العاصمة,لواء الجيزة,قضاء ام الرصاص,سالية,سالية,سالية,1,4,0,2,0,3,0,0
العاصمة,لواء الجيزة,قضاء ام الرصاص,عليان,عليان,عليان,0,2,0,0,1,2,0,0
العاصمة,لواء الموقر,قضاء الموقر,الجناب,الجناب,الجناب,0,4,0,1,0,1,0,0
العاصمة,لواء الموقر,قضاء الموقر,الحاتمية,الحاتمية,الحاتمية,2,3,2,3,0,0,0,0
العاصمة,لواء الموقر,قضاء الموقر,الحنيفية,الحنيفية,الحنيفية,1,0,0,0,0,0,0,0
العاصمة,لواء الموقر,قضاء الموقر,الذهيبة الشرقية,الذهيبة الشرقية,الذهيبة الشرقية,6,6,0,4,2,1,5,0
العاصمة,لواء الموقر,قضاء الموقر,الزميلات,الزميلات,الزميلات,1,0,0,0,0,0,0,0
العاصمة,لواء الموقر,قضاء الموقر,الفيصلية,الفيصلية,الفيصلية,14,12,2,8,3,4,2,0
العاصمة,لواء الموقر,قضاء الموقر,المنشية,المنشية,المنشية,0,11,3,3,1,3,1,0
العاصمة,لواء الموقر,قضاء الموقر,الموقر,الموقر,الموقر,12,15,2,9,2,4,3,0
العاصمة,لواء الموقر,قضاء الموقر,النقيرة,النقيرة,النقيرة,0,4,1,2,1,1,1,0
العاصمة,لواء الموقر,قضاء الموقر,ام بطمة,ام بطمة,ام بطمة,7,7,3,3,1,4,2,0
العاصمة,لواء الموقر,قضاء الموقر,غزالة,غزالة,غزالة,2,1,0,0,0,0,0,0
العاصمة,لواء الموقر,قضاء الموقر,مغاير مهنا,مغاير مهنا,مغاير مهنا,2,6,0,1,1,2,1,0
العاصمة,لواء الموقر,قضاء رجم الشامي,الذهيبة الغربية,الذهيبة الغربية,الذهيبة الغربية,8,16,3,7,6,8,10,1
العاصمة,لواء الموقر,قضاء رجم الشامي,الكتيفه,الكتيفه,الكتيفه,1,2,1,0,1,0,3,0
العاصمة,لواء الموقر,قضاء رجم الشامي,اللسين,اللسين,اللسين,1,0,0,0,0,3,0,0
العاصمة,لواء الموقر,قضاء رجم الشامي,الهاشمية,الهاشمية,الهاشمية,2,2,0,0,0,0,1,0
العاصمة,لواء الموقر,قضاء رجم الشامي,رجم الشامي الشرقي,رجم الشامي الشرقي,رجم الشامي الشرقي,1,3,1,1,1,4,8,0
العاصمة,لواء الموقر,قضاء رجم الشامي,رجم الشامي الغربي,رجم الشامي الغربي,رجم الشامي الغربي,8,18,3,2,7,13,7,0
العاصمة,لواء الموقر,قضاء رجم الشامي,سالم,سالم,سالم,4,6,1,2,2,3,2,0
العاصمة,لواء ناعور,قضاء ناعور,ابو نقلة,ابو نقلة,ابو نقلة,1,4,3,2,1,1,0,0
العاصمة,لواء ناعور,قضاء ناعور,ادبيان,ادبيان,ادبيان,2,7,3,0,0,1,0,0
العاصمة,لواء ناعور,قضاء ناعور,البنيات,البنيات,البنيات الجنوبي,4,7,2,7,0,4,0,0
العاصمة,لواء ناعور,قضاء ناعور,البنيات,البنيات,البنيات الشمالي,7,8,6,9,2,2,0,0
العاصمة,لواء ناعور,قضاء ناعور,العامرية,العامرية,العامرية,0,0,0,2,0,1,0,0
العاصمة,لواء ناعور,قضاء ناعور,العجاجرة,العجاجرة,العجاجرة,0,0,0,2,0,0,0,0
العاصمة,لواء ناعور,قضاء ناعور,العدسية,العدسية,العدسية,1,5,2,4,6,0,0,0
العاصمة,لواء ناعور,قضاء ناعور,العويلية,العويلية,العويلية,1,1,0,1,0,0,0,0
العاصمة,لواء ناعور,قضاء ناعور,المنشية وام القطين,المنشية وام القطين,المنشية وام القطين,1,1,5,0,0,0,0,0
العاصمة,لواء ناعور,قضاء ناعور,المنصورة,المنصورة,المنصورة,3,4,3,6,0,1,0,0
العاصمة,لواء ناعور,قضاء ناعور,ام السماق,ام السماق,ام السماق,3,11,2,11,3,4,5,0
العاصمة,لواء ناعور,قضاء ناعور,بلعاس,بلعاس,بلعاس,0,1,0,1,0,0,1,0
العاصمة,لواء ناعور,قضاء ناعور,تركي,تركي,تركي,4,10,1,8,6,7,0,0
العاصمة,لواء ناعور,قضاء ناعور,زبود,زبود,زبود,3,6,1,0,1,3,0,0
العاصمة,لواء ناعور,قضاء ناعور,سيل حسبان,سيل حسبان,سيل حسبان,1,9,1,0,2,1,0,0
العاصمة,لواء ناعور,قضاء ناعور,ناعور,ناعور,ناعور,25,32,22,19,12,14,9,0
العاصمة,لواء ناعور,قضاء ام البساتين,السامك,السامك,السامك,1,9,0,5,0,2,1,0
العاصمة,لواء ناعور,قضاء ام البساتين,ام البرك,ام البرك,ام البرك,1,2,0,2,2,3,0,0
العاصمة,لواء ناعور,قضاء ام البساتين,ام البساتين,ام البساتين,ام البساتين,5,10,5,6,1,2,2,0
العاصمة,لواء ناعور,قضاء ام البساتين,ام العساكر,ام العساكر,ام العساكر,1,2,0,0,0,1,1,0
العاصمة,لواء ناعور,قضاء ام البساتين,ام الكندم,ام الكندم,ام الكندم,3,7,0,0,1,0,1,0
العاصمة,لواء ناعور,قضاء ام البساتين,ماسوح,ماسوح,ماسوح,0,1,0,0,0,1,0,0
العاصمة,لواء ناعور,قضاء حسبان,الروضة,الروضة,الروضة,6,21,3,17,1,2,4,0
العاصمة,لواء ناعور,قضاء حسبان,العال,العال,العال,8,13,1,4,2,3,1,2
العاصمة,لواء ناعور,قضاء حسبان,المشقر,المشقر,المشقر,7,9,2,5,1,0,1,0
العاصمة,لواء ناعور,قضاء حسبان,حسبان,حسبان,حسبان,1,3,1,4,0,3,3,0
العاصمة,لواء ناعور,قضاء حسبان,كرمة حسبان,كرمة حسبان,كرمة حسبان,1,0,0,3,1,0,0,0
العاصمة,لواء ناعور,قضاء حسبان,منشية حسبان,منشية حسبان,منشية حسبان,3,11,2,2,3,3,0,0
