محافظه,لواء,قضاء,التجمع السكاني,المنطقة,الحي,مدني,عسكري,جامعات رسميه,خاص
العاصمة,لواء الجيزة,قضاء الجيزة,الزعفران,الزعفران,الزعفران,236,153,18,3
العاصمة,لواء الجيزة,قضاء الجيزة,الزميله,الزميله,الزميله,505,515,23,57
العاصمة,لواء الجيزة,قضاء الجيزة,الزيتونة,الزيتونة,الزيتونة,162,181,5,22
العاصمة,لواء الجيزة,قضاء الجيزة,السيفية(زباير كنيعان),السيفية(زباير كنيعان),السيفية(زباير كنيعان),8,0,0,0
العاصمة,لواء الجيزة,قضاء الجيزة,الشهباء(زباير الوتيري),الشهباء(زباير الوتيري),الشهباء(زباير الوتيري),21,37,0,0
العاصمة,لواء الجيزة,قضاء الجيزة,الصلاحيه(زباير الطوال),الصلاحيه(زباير الطوال),الصلاحيه(زباير الطوال),127,25,1,3
العاصمة,لواء الجيزة,قضاء الجيزة,الطنيب,الطنيب,الطنيب,49,4,6,16
العاصمة,لواء الجيزة,قضاء الجيزة,الغبية,الغبية,الغبية,17,4,1,1
العاصمة,لواء الجيزة,قضاء الجيزة,القسطل,القسطل,القسطل,616,190,35,233
العاصمة,لواء الجيزة,قضاء الجيزة,القناطر,القناطر,القناطر,42,86,0,2
العاصمة,لواء الجيزة,قضاء الجيزة,القنيطره,القنيطره,القنيطره,102,89,19,5
العاصمة,لواء الجيزة,قضاء الجيزة,اللبن,اللبن,اللبن,697,165,19,109
العاصمة,لواء الجيزة,قضاء الجيزة,المشتى,المشتى,المشتى,33,27,0,2
العاصمة,لواء الجيزة,قضاء الجيزة,المناره,المناره,المناره,81,104,0,9
العاصمة,لواء الجيزة,قضاء الجيزة,الناصرية,الناصرية,الناصرية,144,165,9,2
العاصمة,لواء الجيزة,قضاء الجيزة,ام العمد,ام العمد,ام العمد,242,19,7,30
العاصمة,لواء الجيزة,قضاء الجيزة,ام الوليد,ام الوليد,ام الوليد,466,770,29,60
العاصمة,لواء الجيزة,قضاء الجيزة,ام رمانه,ام رمانه,ام رمانه,154,74,15,16
العاصمة,لواء الجيزة,قضاء الجيزة,ام قصير ,ام قصير ,ام قصير ,583,502,13,56
العاصمة,لواء الجيزة,قضاء الجيزة,جلول,جلول,جلول,198,147,7,7
العاصمة,لواء الجيزة,قضاء الجيزة,حمام الشموط,حمام الشموط,حمام الشموط,238,452,16,17
العاصمة,لواء الجيزة,قضاء الجيزة,حمام الطلاق,حمام الطلاق,حمام الطلاق,84,125,9,0
العاصمة,لواء الجيزة,قضاء الجيزة,حواره,حواره,حواره,134,85,14,5
العاصمة,لواء الجيزة,قضاء الجيزة,خان الزبيب,خان الزبيب,خان الزبيب,20,0,0,2
العاصمة,لواء الجيزة,قضاء الجيزة,زويزيا,زويزيا,زويزيا,35,7,0,2
العاصمة,لواء الجيزة,قضاء الجيزة,زينب,زينب,زينب,112,127,5,20
العاصمة,لواء الجيزة,قضاء الجيزة,صوفه,صوفه,صوفه,61,94,3,11
العاصمة,لواء الجيزة,قضاء الجيزة,ضبعه,ضبعه,ضبعه,153,41,9,4
العاصمة,لواء الجيزة,قضاء الجيزة,مخيم الطالبية,مخيم الطالبية,مخيم الطالبية,2351,400,21,571
العاصمة,لواء الجيزة,قضاء الجيزة,مشيرفة الجيزه,مشيرفة الجيزه,مشيرفة الجيزه,134,5,0,0
العاصمة,لواء الجيزة,قضاء الجيزة,منجا,منجا,منجا,230,121,10,25
العاصمة,لواء الجيزة,قضاء الجيزة,نتل,نتل,نتل,226,286,14,11
العاصمة,لواء الجيزة,قضاء ام الرصاص,ابو حليليفة,ابو حليليفة,ابو حليليفة,79,166,4,0
العاصمة,لواء الجيزة,قضاء ام الرصاص,البحيرات(منشية السواريه),البحيرات(منشية السواريه),البحيرات(منشية السواريه),11,8,1,0
العاصمة,لواء الجيزة,قضاء ام الرصاص,الثريا,الثريا,الثريا,17,0,0,0
العاصمة,لواء الجيزة,قضاء ام الرصاص,الدامخي,الدامخي,الدامخي,212,143,0,42
العاصمة,لواء الجيزة,قضاء ام الرصاص,الرامة,الرامة,الرامة,412,546,6,28
العاصمة,لواء الجيزة,قضاء ام الرصاص,الرميل,الرميل,الرميل,120,160,2,4
العاصمة,لواء الجيزة,قضاء ام الرصاص,المشيرفة,المشيرفة,المشيرفة,311,301,6,1
العاصمة,لواء الجيزة,قضاء ام الرصاص,المصيطبة,المصيطبة,المصيطبة,131,103,26,13
العاصمة,لواء الجيزة,قضاء ام الرصاص,الياهون,الياهون,الياهون,103,51,0,3
العاصمة,لواء الجيزة,قضاء ام الرصاص,ام الرصاص,ام الرصاص,ام الرصاص,155,121,13,5
العاصمة,لواء الجيزة,قضاء ام الرصاص,جميل,جميل,جميل,239,154,7,11
العاصمة,لواء الجيزة,قضاء ام الرصاص,رجم عقاب,رجم عقاب,رجم عقاب,43,74,1,0
العاصمة,لواء الجيزة,قضاء ام الرصاص,رجم فهيد,رجم فهيد,رجم فهيد,45,57,8,0
العاصمة,لواء الجيزة,قضاء ام الرصاص,سالية,سالية,سالية,228,83,5,0
العاصمة,لواء الجيزة,قضاء ام الرصاص,سواقة,سواقة,سواقة,8,0,0,3
العاصمة,لواء الجيزة,قضاء ام الرصاص,طور الحشاش,طور الحشاش,طور الحشاش,133,283,0,0
العاصمة,لواء الجيزة,قضاء ام الرصاص,عليان,عليان,عليان,66,165,1,5
العاصمة,لواء القويسمة,قضاء القويسمة,القويسمة والجويدة وابو علندا والرجيب,القويسمة وابو علندا,ابو صوانة,1413,702,8,94
