عدد السكان 2004 حسب الفئات العمرية والجنسية,,,,,,,,,,,,,,
محافظه,لواء,قضاء,التجمع السكاني,المنطقة,الحي,gis block code,age,اردني,سوري,عراقي,فلسطيني,مصري,اخرى,المجموع
العاصمة,لواء وادي السير,قضاء وادي السير,وادي السير,وادي السير,الظهير,110510111409,10-14,94,0,0,0,0,2,96
العاصمة,لواء وادي السير,قضاء وادي السير,وادي السير,وادي السير,الظهير,110510111409,15-19,64,0,0,0,0,0,64
العاصمة,لواء وادي السير,قضاء وادي السير,وادي السير,وادي السير,الظهير,110510111409,20-24,75,0,1,1,1,2,80
العاصمة,لواء وادي السير,قضاء وادي السير,وادي السير,وادي السير,الظهير,110510111409,25-29,45,2,1,0,1,5,54
العاصمة,لواء وادي السير,قضاء وادي السير,وادي السير,وادي السير,الظهير,110510111409,30-34,52,3,0,0,2,0,57
العاصمة,لواء وادي السير,قضاء وادي السير,وادي السير,وادي السير,الظهير,110510111409,35-39,48,0,0,0,1,2,51
العاصمة,لواء وادي السير,قضاء وادي السير,وادي السير,وادي السير,الظهير,110510111409,40-44,31,0,0,0,2,2,35
العاصمة,لواء وادي السير,قضاء وادي السير,وادي السير,وادي السير,الظهير,110510111409,45-49,27,0,1,0,1,2,31
العاصمة,لواء وادي السير,قضاء وادي السير,وادي السير,وادي السير,الظهير,110510111409,50-54,16,0,0,0,0,0,16
العاصمة,لواء وادي السير,قضاء وادي السير,وادي السير,وادي السير,الظهير,110510111409,55-59,14,0,0,0,0,0,14
العاصمة,لواء وادي السير,قضاء وادي السير,وادي السير,وادي السير,الظهير,110510111409,60-64,14,0,1,0,0,0,15
العاصمة,لواء وادي السير,قضاء وادي السير,وادي السير,وادي السير,الظهير,110510111409,65+,31,0,0,0,0,0,31
العاصمة,لواء وادي السير,قضاء وادي السير,وادي السير,وادي السير,الظهير,110510111409,unspecified,1,0,0,0,0,0,1
العاصمة,لواء وادي السير,قضاء وادي السير,وادي السير,وادي السير,الكرسي,110510111411,0-04,572,4,3,8,9,4,600
العاصمة,لواء وادي السير,قضاء وادي السير,وادي السير,وادي السير,الكرسي,110510111411,05-09,594,7,4,4,4,3,616
العاصمة,لواء وادي السير,قضاء وادي السير,وادي السير,وادي السير,الكرسي,110510111411,10-14,594,5,5,6,1,4,615
العاصمة,لواء وادي السير,قضاء وادي السير,وادي السير,وادي السير,الكرسي,110510111411,15-19,572,4,4,6,0,9,595
العاصمة,لواء وادي السير,قضاء وادي السير,وادي السير,وادي السير,الكرسي,110510111411,20-24,554,6,7,13,10,54,644
العاصمة,لواء وادي السير,قضاء وادي السير,وادي السير,وادي السير,الكرسي,110510111411,25-29,438,3,4,4,10,26,485
العاصمة,لواء وادي السير,قضاء وادي السير,وادي السير,وادي السير,الكرسي,110510111411,30-34,397,1,2,2,18,15,435
العاصمة,لواء وادي السير,قضاء وادي السير,وادي السير,وادي السير,الكرسي,110510111411,35-39,354,2,2,3,12,11,384
العاصمة,لواء وادي السير,قضاء وادي السير,وادي السير,وادي السير,الكرسي,110510111411,40-44,295,2,2,1,2,15,317
